idx,branch_name,merge,left,right,notes,diff contains java file,diff_logs,imports_involved,non_java_involved,num_diff_files,num_diff_lines,test merge,left parent test result,left_tree_fingerprint,parents pass,right parent test result,right_tree_fingerprint,sampled for testing
23,refs/heads/master,6a1935c8ff0793dbd27f5c900f03cc7c1c791548,9cd1ecc065b0815afaf67a1bcb6b806451434114,2dd718c6c6f4537fb0eb8d5764882b020182d133,,False,"{'base_left': 'cache/diff_analyzer/logs/yegor256/s3auth/9cd1ecc065b0815afaf67a1bcb6b806451434114_2dd718c6c6f4537fb0eb8d5764882b020182d133_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yegor256/s3auth/9cd1ecc065b0815afaf67a1bcb6b806451434114_2dd718c6c6f4537fb0eb8d5764882b020182d133_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yegor256/s3auth/9cd1ecc065b0815afaf67a1bcb6b806451434114_2dd718c6c6f4537fb0eb8d5764882b020182d133_left_right.log'}",True,True,178,3451,False,,,,,,False
24,refs/heads/master,0b610814deee738ff4eebc86ccb404d74506eb0e,0c46171cf33aa5c01c3ab5c15ccd80db9574eb74,37085462490e39bd1bef3fa4587a8af56e5c8b12,,False,"{'base_left': 'cache/diff_analyzer/logs/yegor256/s3auth/0c46171cf33aa5c01c3ab5c15ccd80db9574eb74_37085462490e39bd1bef3fa4587a8af56e5c8b12_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yegor256/s3auth/0c46171cf33aa5c01c3ab5c15ccd80db9574eb74_37085462490e39bd1bef3fa4587a8af56e5c8b12_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yegor256/s3auth/0c46171cf33aa5c01c3ab5c15ccd80db9574eb74_37085462490e39bd1bef3fa4587a8af56e5c8b12_left_right.log'}",False,True,3,4,False,,,,,,False
25,refs/heads/master,4b9490c6216641bff210b4d8c1abe110707a766f,6d07e906920eef4760570d05189a36b41a7cd15f,2978cb4484b8f317577cd5c0d7e6c1847236f7bd,,False,"{'base_left': 'cache/diff_analyzer/logs/yegor256/s3auth/6d07e906920eef4760570d05189a36b41a7cd15f_2978cb4484b8f317577cd5c0d7e6c1847236f7bd_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yegor256/s3auth/6d07e906920eef4760570d05189a36b41a7cd15f_2978cb4484b8f317577cd5c0d7e6c1847236f7bd_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yegor256/s3auth/6d07e906920eef4760570d05189a36b41a7cd15f_2978cb4484b8f317577cd5c0d7e6c1847236f7bd_left_right.log'}",False,True,140,200,False,,,,,,False
26,refs/heads/master,66b7324bf580062cc5509f3f591907ed2ed066a3,94e2e53419c001ad8a0f03a46c8d2dcf1beb2b62,624c203453e729ecf87156f15a3109cf99202bf9,,False,"{'base_left': 'cache/diff_analyzer/logs/yegor256/s3auth/94e2e53419c001ad8a0f03a46c8d2dcf1beb2b62_624c203453e729ecf87156f15a3109cf99202bf9_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yegor256/s3auth/94e2e53419c001ad8a0f03a46c8d2dcf1beb2b62_624c203453e729ecf87156f15a3109cf99202bf9_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yegor256/s3auth/94e2e53419c001ad8a0f03a46c8d2dcf1beb2b62_624c203453e729ecf87156f15a3109cf99202bf9_left_right.log'}",True,True,23,4262,False,,,,,,False
27,refs/heads/master,624c203453e729ecf87156f15a3109cf99202bf9,fe2d0a7bb0a5e086a6a591d402958ac7b264c501,8405f076832fa17e53c817e1feb34a71222345e0,,False,"{'base_left': 'cache/diff_analyzer/logs/yegor256/s3auth/fe2d0a7bb0a5e086a6a591d402958ac7b264c501_8405f076832fa17e53c817e1feb34a71222345e0_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yegor256/s3auth/fe2d0a7bb0a5e086a6a591d402958ac7b264c501_8405f076832fa17e53c817e1feb34a71222345e0_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yegor256/s3auth/fe2d0a7bb0a5e086a6a591d402958ac7b264c501_8405f076832fa17e53c817e1feb34a71222345e0_left_right.log'}",True,True,6,56,False,,,,,,False
28,refs/heads/master,fe2d0a7bb0a5e086a6a591d402958ac7b264c501,fb7f3bd29e9c135565e3a93acd8d782706cfa922,1e6d57bae3215485af2e3ae717b246456cbff3ef,,False,"{'base_left': 'cache/diff_analyzer/logs/yegor256/s3auth/fb7f3bd29e9c135565e3a93acd8d782706cfa922_1e6d57bae3215485af2e3ae717b246456cbff3ef_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yegor256/s3auth/fb7f3bd29e9c135565e3a93acd8d782706cfa922_1e6d57bae3215485af2e3ae717b246456cbff3ef_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yegor256/s3auth/fb7f3bd29e9c135565e3a93acd8d782706cfa922_1e6d57bae3215485af2e3ae717b246456cbff3ef_left_right.log'}",True,True,4,50,False,,,,,,False
29,refs/heads/master,1a1c15e37fb38bae2fda4b258fbaa4b15323fc5f,2021a7fff26473b4a6af5ec26f7c9bb1796cf592,e2f12114cad9037d38910f5cbbd41f3b6eab4dd8,,False,"{'base_left': 'cache/diff_analyzer/logs/yegor256/s3auth/2021a7fff26473b4a6af5ec26f7c9bb1796cf592_e2f12114cad9037d38910f5cbbd41f3b6eab4dd8_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yegor256/s3auth/2021a7fff26473b4a6af5ec26f7c9bb1796cf592_e2f12114cad9037d38910f5cbbd41f3b6eab4dd8_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yegor256/s3auth/2021a7fff26473b4a6af5ec26f7c9bb1796cf592_e2f12114cad9037d38910f5cbbd41f3b6eab4dd8_left_right.log'}",True,True,143,490,False,,,,,,False
30,refs/heads/master,2021a7fff26473b4a6af5ec26f7c9bb1796cf592,cd6adb4791f7b1995ce4139e18a57f16780346a1,e662b3372db16daa91d99e1c8bc8fc5206e5f62a,,False,"{'base_left': 'cache/diff_analyzer/logs/yegor256/s3auth/cd6adb4791f7b1995ce4139e18a57f16780346a1_e662b3372db16daa91d99e1c8bc8fc5206e5f62a_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yegor256/s3auth/cd6adb4791f7b1995ce4139e18a57f16780346a1_e662b3372db16daa91d99e1c8bc8fc5206e5f62a_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yegor256/s3auth/cd6adb4791f7b1995ce4139e18a57f16780346a1_e662b3372db16daa91d99e1c8bc8fc5206e5f62a_left_right.log'}",False,True,4,5,False,,,,,,False
31,refs/heads/master,98ac2dc08c72cf2fc0cbef3c184f6c52e66fdc77,58070efe7b5d10b0e1e29e745371566114d9491b,91b59d987237d8440e7bf49a69f2eb8bfdde6450,,True,"{'base_left': 'cache/diff_analyzer/logs/yegor256/s3auth/58070efe7b5d10b0e1e29e745371566114d9491b_91b59d987237d8440e7bf49a69f2eb8bfdde6450_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yegor256/s3auth/58070efe7b5d10b0e1e29e745371566114d9491b_91b59d987237d8440e7bf49a69f2eb8bfdde6450_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yegor256/s3auth/58070efe7b5d10b0e1e29e745371566114d9491b_91b59d987237d8440e7bf49a69f2eb8bfdde6450_left_right.log'}",True,True,8,49,False,Tests_failed,990362f2b23f61b16ba5607454a2aa82e502b5e3ddf05ac3eef7b2baf9f8e4d9,False,Tests_failed,fcbbd16ed23208e5abfddac7e8936660e09258027199fc36553d17064a4945eb,False
32,refs/heads/master,3d8b76988d19d7b1592b8a95ea9947b0f7f6de00,12ff54357d4f08f24c6e5a1ad36fd8a6bedde1fe,f13941c91ca8f540a8ba64495b1151b9477b5b23,,True,"{'base_left': 'cache/diff_analyzer/logs/yegor256/s3auth/12ff54357d4f08f24c6e5a1ad36fd8a6bedde1fe_f13941c91ca8f540a8ba64495b1151b9477b5b23_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yegor256/s3auth/12ff54357d4f08f24c6e5a1ad36fd8a6bedde1fe_f13941c91ca8f540a8ba64495b1151b9477b5b23_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yegor256/s3auth/12ff54357d4f08f24c6e5a1ad36fd8a6bedde1fe_f13941c91ca8f540a8ba64495b1151b9477b5b23_left_right.log'}",True,True,16,724,False,Tests_failed,8762b3a3b15a445ac566dd36c9390dfcaf86825785907c918fb2ff0feb2f1e5e,False,Tests_failed,2c3a48bca58da6f955b82aa6c0563ff7d2a59ab50f32b5dac3f269f198c9e06c,False
33,refs/heads/master,ccede560f20fc3099e6ba5833cfd10caa53939fe,2c2036702990a5fab3e74c100a1fa253ccd74489,671cd41923a4429d908bea36d2921760ca6d3d03,,True,"{'base_left': 'cache/diff_analyzer/logs/yegor256/s3auth/2c2036702990a5fab3e74c100a1fa253ccd74489_671cd41923a4429d908bea36d2921760ca6d3d03_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yegor256/s3auth/2c2036702990a5fab3e74c100a1fa253ccd74489_671cd41923a4429d908bea36d2921760ca6d3d03_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yegor256/s3auth/2c2036702990a5fab3e74c100a1fa253ccd74489_671cd41923a4429d908bea36d2921760ca6d3d03_left_right.log'}",True,True,151,2035,False,Tests_failed,b450e91062db3c02d317274ccbe00c6bcc62d1ee8c17e0103c277ad7d5552150,False,Tests_failed,3952767bb9d90ab8963a7ecd05f5a94af13d20e167ab41d3c2d52d1abba73279,False
34,refs/heads/master,671cd41923a4429d908bea36d2921760ca6d3d03,90d2dd50c653d9cf7a5b977b5f156501e2b3320d,8f43b0369841c8cfe48c47e0481f4c74f0517ccc,,False,"{'base_left': 'cache/diff_analyzer/logs/yegor256/s3auth/90d2dd50c653d9cf7a5b977b5f156501e2b3320d_8f43b0369841c8cfe48c47e0481f4c74f0517ccc_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yegor256/s3auth/90d2dd50c653d9cf7a5b977b5f156501e2b3320d_8f43b0369841c8cfe48c47e0481f4c74f0517ccc_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yegor256/s3auth/90d2dd50c653d9cf7a5b977b5f156501e2b3320d_8f43b0369841c8cfe48c47e0481f4c74f0517ccc_left_right.log'}",True,True,12,525,False,,,,,,False
35,refs/heads/master,0e346df0e577728791306783d1542e1a111067c9,90ce00c2489f25c5d9ff1de709936c75ad3843fb,d24e34b3d57d4cd26e02b7de96f1dd0c375969bb,,False,"{'base_left': 'cache/diff_analyzer/logs/yegor256/s3auth/90ce00c2489f25c5d9ff1de709936c75ad3843fb_d24e34b3d57d4cd26e02b7de96f1dd0c375969bb_base_left.log', 'base_right': 'cache/diff_analyzer/logs/yegor256/s3auth/90ce00c2489f25c5d9ff1de709936c75ad3843fb_d24e34b3d57d4cd26e02b7de96f1dd0c375969bb_base_right.log', 'left_right': 'cache/diff_analyzer/logs/yegor256/s3auth/90ce00c2489f25c5d9ff1de709936c75ad3843fb_d24e34b3d57d4cd26e02b7de96f1dd0c375969bb_left_right.log'}",True,True,6,60,False,,,,,,False
