idx,branch_name,merge,left,right,base,parent test,merge test,repo_name,gitmerge-ort,gitmerge-ort-ignorespace,gitmerge-recursive-patience,gitmerge-recursive-minimal,gitmerge-recursive-histogram,gitmerge-recursive-myers,gitmerge-resolve,spork,intellimerge,Equivalent gitmerge-ort gitmerge-ort-ignorespace,Equivalent gitmerge-ort gitmerge-recursive-patience,Equivalent gitmerge-ort gitmerge-recursive-minimal,Equivalent gitmerge-ort gitmerge-recursive-histogram,Equivalent gitmerge-ort gitmerge-recursive-myers,Equivalent gitmerge-ort gitmerge-resolve,Equivalent gitmerge-ort spork,Equivalent gitmerge-ort intellimerge,Equivalent gitmerge-ort-ignorespace gitmerge-recursive-patience,Equivalent gitmerge-ort-ignorespace gitmerge-recursive-minimal,Equivalent gitmerge-ort-ignorespace gitmerge-recursive-histogram,Equivalent gitmerge-ort-ignorespace gitmerge-recursive-myers,Equivalent gitmerge-ort-ignorespace gitmerge-resolve,Equivalent gitmerge-ort-ignorespace spork,Equivalent gitmerge-ort-ignorespace intellimerge,Equivalent gitmerge-recursive-patience gitmerge-recursive-minimal,Equivalent gitmerge-recursive-patience gitmerge-recursive-histogram,Equivalent gitmerge-recursive-patience gitmerge-recursive-myers,Equivalent gitmerge-recursive-patience gitmerge-resolve,Equivalent gitmerge-recursive-patience spork,Equivalent gitmerge-recursive-patience intellimerge,Equivalent gitmerge-recursive-minimal gitmerge-recursive-histogram,Equivalent gitmerge-recursive-minimal gitmerge-recursive-myers,Equivalent gitmerge-recursive-minimal gitmerge-resolve,Equivalent gitmerge-recursive-minimal spork,Equivalent gitmerge-recursive-minimal intellimerge,Equivalent gitmerge-recursive-histogram gitmerge-recursive-myers,Equivalent gitmerge-recursive-histogram gitmerge-resolve,Equivalent gitmerge-recursive-histogram spork,Equivalent gitmerge-recursive-histogram intellimerge,Equivalent gitmerge-recursive-myers gitmerge-resolve,Equivalent gitmerge-recursive-myers spork,Equivalent gitmerge-recursive-myers intellimerge,Equivalent gitmerge-resolve spork,Equivalent gitmerge-resolve intellimerge,Equivalent spork intellimerge,gitmerge-ort run_time,gitmerge-ort-ignorespace run_time,gitmerge-recursive-patience run_time,gitmerge-recursive-minimal run_time,gitmerge-recursive-histogram run_time,gitmerge-recursive-myers run_time,gitmerge-resolve run_time,spork run_time,intellimerge run_time
20,refs/heads/master,d3979b4bb078642ec98e47e65ae719d5cd0539bd,9f882b78cc2a4fc93466fd98eb74a661104b7ba1,daf30b4f6f65035fcdc6743c958ee052223aa0fd,9f882b78cc2a4fc93466fd98eb74a661104b7ba1,Tests_passed,Tests_passed,Beh01der/EasyFlow,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0795896053314209,0.07599449157714844,0.04086756706237793,0.07685399055480957,0.0389704704284668,0.07288169860839844,0.07490015029907227,0.08159494400024414,1.3892223834991455
21,refs/heads/master,09bcb60d501a459268c89878775c6fd9b73ebb54,e4f4341103d573cf10ee9bfd50d078490a62cc9a,c46cf1aebe2d2605b22c0d738d901f4dba856b61,e4f4341103d573cf10ee9bfd50d078490a62cc9a,Tests_passed,Tests_passed,Beh01der/EasyFlow,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07330560684204102,0.04022097587585449,0.042275190353393555,0.039884328842163086,0.04371500015258789,0.03956294059753418,0.07496333122253418,0.0706777572631836,1.3384311199188232
22,refs/heads/master,a362fae3639ce35b0d4620b0904b8bc83eb36e6e,0e8214a9f79abfa940760d10e491a0409a9b192f,63fb68fea8d91b5be38ad34b34ffd5a2acd31338,0e8214a9f79abfa940760d10e491a0409a9b192f,Tests_passed,Tests_passed,Berico-Technologies/CLAVIN-NERD,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14968061447143555,0.13151097297668457,0.07714486122131348,0.17732524871826172,0.0791788101196289,0.07627081871032715,0.07628226280212402,0.19174551963806152,2.7840590476989746
23,refs/heads/master,6f3a7d83117c56d1e5aa682a4a04a320d27916da,5e51f44013f40e08be88aec44e83fc5b7532f52d,e4d40813347fe154ef4edad3f15e078defe05ea6,5e51f44013f40e08be88aec44e83fc5b7532f52d,Tests_passed,Tests_passed,Berico-Technologies/CLAVIN-NERD,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046358585357666016,0.07542562484741211,0.07378792762756348,0.04148364067077637,0.051635026931762695,0.04346895217895508,0.04449295997619629,0.12114953994750977,2.7271878719329834
24,refs/heads/master,7e77845ec97bc37ed1702487567d31c8487c98d3,6f3a7d83117c56d1e5aa682a4a04a320d27916da,0e8214a9f79abfa940760d10e491a0409a9b192f,260e1a1111909c7805356be934c2d9e62874a2a2,Tests_passed,Tests_passed,Berico-Technologies/CLAVIN-NERD,Merge_failed,Merge_failed,Merge_failed,Merge_failed,Merge_failed,Merge_failed,Merge_failed,Merge_failed,Merge_failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457.4753170013428,30.840038299560547,4.135556221008301,0.6589851379394531,1.0274808406829834,28.495927810668945,23.437079906463623,17.918717861175537,4.89549708366394
25,refs/heads/master,c26f8f022732ff2bdc4e39cc8378dace8abb5f05,a362fae3639ce35b0d4620b0904b8bc83eb36e6e,aa94ea777c1b99f36a32c2a7763561b15131927e,63fb68fea8d91b5be38ad34b34ffd5a2acd31338,Tests_passed,Tests_passed,Berico-Technologies/CLAVIN-NERD,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08106207847595215,0.07769131660461426,0.17182087898254395,0.08317232131958008,0.14725828170776367,0.07570099830627441,0.046779632568359375,0.05812883377075195,2.7915587425231934
26,refs/heads/master,503cb2e2070de1cbebca5835e2d5308afe813e62,c3aa8d22f6c85aa985a70883d44c78d02a3c3469,56dfb2396e07b8d81bdefea9688e44127409221b,c70ec4ca60ac3dfe8db28bb2e62dcadee54a76c2,Tests_passed,Tests_failed,Berico-Technologies/CLAVIN-NERD,Merge_failed,Merge_failed,Merge_failed,Merge_failed,Merge_failed,Merge_failed,Merge_failed,Merge_failed,Merge_failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8380868434906,181.18332719802856,0.03106403350830078,0.875408411026001,1.4413433074951172,1.8048906326293945,3.9083073139190674,11.269590854644775,5.122478485107422
27,refs/heads/master,56dfb2396e07b8d81bdefea9688e44127409221b,c70ec4ca60ac3dfe8db28bb2e62dcadee54a76c2,957005503fdc2921eba4954e90a0e2105ec821db,c70ec4ca60ac3dfe8db28bb2e62dcadee54a76c2,Tests_passed,Tests_passed,Berico-Technologies/CLAVIN-NERD,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07699728012084961,0.07752037048339844,0.06386423110961914,0.10206437110900879,0.11470913887023926,0.04367709159851074,0.0751180648803711,0.06303286552429199,2.7593250274658203
28,refs/heads/master,5d8673334156dc6be7727b158c5bb707ea6af591,11833637eee6674d95482efa64f3c3eec1c8219a,9186a8b319b034479b2fa8a9100c5c4551626f04,11833637eee6674d95482efa64f3c3eec1c8219a,Tests_passed,Tests_passed,Comcast/jrugged,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16746234893798828,0.16780614852905273,0.11842679977416992,0.13216161727905273,0.1727614402770996,0.17056536674499512,0.16635465621948242,0.1858198642730713,1.8976256847381592
29,refs/heads/master,6c99d15ec7ecfe7a60fa9dbaf0624b4ee9630bcc,1eba4da9b4fae276fa4d0d0d8c3775245b6d973b,721a0959cd4628d177be1b650ae2ccbc91ca000c,f0686cc60898026923ca94f7d93a5b4c835c2736,Tests_passed,Tests_passed,Comcast/jrugged,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,Tests_passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2163379192352295,0.11665630340576172,0.26864171028137207,0.06679868698120117,0.21625685691833496,0.16508865356445312,0.0649559497833252,0.18581581115722656,1.9170246124267578
