idx,branch_name,merge,left,right,notes,diff_size,diff_contains_java_file,left_tree_fingerprint,left parent test result,left parent test coverage,parents pass,right_tree_fingerprint,right parent test result,right parent test coverage,test merge
283,refs/heads/main,a40054918e95d0b387ad9bbc404c83346646b849,ff75a0f9c44d10a850212de1e7c2a9df478b1f43,20d8b0015de05704e4426a26022b43891a8bee18,,47,False,fb25211f46b080d34e6c6f30da82a47a7aa317e5100d7d8e7444c6403a3c408e,Tests_failed,0.0,False,48bea9a67e28ba311b45a5172ac72b1b20cf03530b0ba3058c6c539165fc9a55,Tests_failed,0.0,False
284,refs/heads/main,6a49af3fb450a4477538502a7d6b57c1b7494927,4e2c724a711fa4e0ca7e3772bfe3fa9f7e855b88,655db11d675fa31027fb669e529cf4c1ba212937,,1339,True,3b555937b4f6b412cddbbaf9caa9ac141613cf260fd43d4a391925d714826847,Tests_failed,0.0,False,d54b474c4a10203884ff9f5c41929c49d2c976678acaec9e13fee49c154a7a99,Tests_failed,0.0,False
286,refs/heads/main,0b04dfdf1e494e267248a6a6af6c105be8cbfc69,fa3abe3ee294f708882bd01988bdd7d040ab3798,93d4281b649de48eb539e3718f3882c656153ee6,,1318,True,a41e8b144d4142572697b90a727a115c6c28c5a12b33f487bdf2fd0ff30eaaa7,Tests_failed,0.0,False,8182a238d643c189c33a107dcb0903339e8453218154306c8cebbbc4938d83c7,Tests_failed,0.0,False
287,refs/heads/main,acd6b75b1a331aa8064b26f6113b9037fe3b83f5,157b5ad425f7f874581c2cb24a7317e6f330337b,42fbb6029086e408635853543bd4a125b28b8123,,5022,True,5fe2598b74c5e333522cebae32bb47e3ec5177bebd300a89437ab30b588dca1b,Tests_failed,0.0,False,dfb34e2a077d97312d71dcef22abf826547215ce327e5f7424c1f582b2f8d42a,Tests_failed,0.0,False
288,refs/heads/main,00a9235633460882059084aa7383bd9597c56d46,e43dbe6448580e1145568ca01753dfe0158f3a3e,a3c5de2fb54525bff67d2f1873aaee9545516f8e,,163,False,aa953c00c67c6c3a5c88c0468f4745eac9d9c804cb3b252bb201e835c1e9295e,Tests_failed,0.0,False,e2b7db50c965641f174b935ed9d80112cfeb95584b8faaff8e27c3881bd912d6,Tests_failed,0.0,False
293,refs/heads/main,54700d6f7f08761fd8f468e4fd3dc537e4553f15,5dc463e1427d096e696c7ea8979e2e60e2dffd6d,9d6620a34168b59f5fd444a1acbd2fae5d4cbe58,,5687,True,e5e87b46cc00157a84d509846e4533ecd46bfcf2186feea1df351196f5140d39,Tests_failed,0.0,False,e7e4514ddaf9eabb813e18e1107acf7e5dbd6d760722a337cd87869af08ba973,Tests_failed,0.0,False
297,refs/heads/main,34fb3dc9a944aab1209e81343df311bf723dda3e,4cd60ac7b75e953386f8ccc06c775c691d0493b9,90d71fa698d62dd69edf7300f1a6dff322b3c7b9,,3687,True,99a14dd709e8dc5139a89cad5149004639cc077d63a5cded34dc08bc44f1ee6e,Tests_failed,0.0,False,3b94838177d5d2cbd93ec18c92caaa1357aa78d4d71a68fdbf7818968b786804,Tests_failed,0.0,False
298,refs/heads/main,d199d22ad8a3c2327618d072fd8b722f9d803a72,7748e9acbb8bb7f71c8053848fe01438f10dad12,48cd1f8eaa13826668878dfddb485f43df15f47a,,2,False,1e4519cd4b32be76872752a53498149994133ba58803fdddb4a82ecd0fccf192,Tests_failed,0.0,False,1e4519cd4b32be76872752a53498149994133ba58803fdddb4a82ecd0fccf192,Tests_failed,0.0,False
302,refs/heads/main,4437978c0adb2114109a8ba7c4e03e6a57730339,90d71fa698d62dd69edf7300f1a6dff322b3c7b9,ef94601a0600af080009f562b5d59a63359a8c2f,,5644,True,3b94838177d5d2cbd93ec18c92caaa1357aa78d4d71a68fdbf7818968b786804,Tests_failed,0.0,False,e13ff5b8c424d852933e38889fe77e4aec0d492d41fd0da5606e0ee735ad82f3,Tests_failed,0.0,False
306,refs/heads/main,315c90b6f55eaabbc450b8b45809fecaf2f0f5d5,a0496b4cbc60171fd632ad6ad1b15819382b772a,884b4efb24a41216cd40350a8960d4ac587cada0,,10,False,be8b5d101853755a463ee4c546405f7f9c694d91b8380166e1f29d576ef04532,Tests_failed,0.0,False,0ef188d8a8ff436f748eb1e5bae0aaa6872bacf8ed75bd8c4e34113cafd74023,Tests_failed,0.0,False
