idx,branch_name,merge,left,right,notes,diff_size,diff_contains_java_file,left_tree_fingerprint,left parent test result,left parent test coverage,parents pass,right_tree_fingerprint,right parent test result,right parent test coverage,test merge
477,refs/heads/master,fc0fb6aa14aa85e12ab03dca888f61a1d11e7a60,3c3cdd7415c83b1f629af8e6a6efb6ee6d300397,75c3f41515c6d9d5041c047ec1c8d11e4ea33778,,20,False,f14cb5b695f802bf161f4d4bb934e72741e760c681c9354d36fb9bb0d7ad3da4,Tests_failed,0.0,False,ae90d4a3ee793c2eb2ed9ad9712f49ff36572efd8b11033477c267e1d696f305,Tests_failed,0.0,False
493,refs/heads/master,0006ff2b9ce4a68cbbb3b3f3a60d3be4e7152fbe,5194262f6f08e9122b617a37e1d0dc6dafa61c93,2deca80e42f75d76dbfc310ac554cbb61b59e5ec,,429,True,e4db5e2e4e56901db67e368ffdf30e4f88a0da90487fb6c33e8e4089668a1633,Tests_failed,0.0,False,d4ee036b974a1a55a164946bd2c9e18dbbf9ed1b633d35d2eba6fbdd62bee73e,Tests_failed,0.0,False
506,refs/heads/master,83312c4eccdef6ef8604d48c7e2643ac302fdfec,37aa87bf64b2a585076ebdfc6890f12229592923,56b10d36e6bfcef21845ee4132fbe05c618b9233,,1687,True,17f4adbfbc3b076f0a51dc38f22a81843bc471758990be847182c6850c4d5b20,Tests_failed,0.0,False,2f249e933543d1cd33e789dbe0d59f10d183aacaeea0bc64baa89736fcc13f93,Tests_failed,0.0,False
511,refs/heads/master,eb3b308bc38e9129c0dc6fa695c9cbe2e86ac8ee,fe9d93115c639a2a335dd0f226717154d5a54736,0eebd398a795c3fdb5dbc876ed0b5d63ce3e6f58,,2,False,f1c2b0872e826ac112b9d96ffc329fb501706232e3c758d3e082fd3f5f725809,Tests_failed,0.0,False,f1c2b0872e826ac112b9d96ffc329fb501706232e3c758d3e082fd3f5f725809,Tests_failed,0.0,False
514,refs/heads/master,4974438c35315992e08a5e785132df6b779cce40,823edbd21ed76a450e400070b37a5de4aeb2b012,54b1ce70c6600dcee68adc359af60f2a0e0c6973,,65,False,5425ef2ccbab7314b396e6399f2b5d587fcbdf5d2c218828b833c5d07a93b07b,Tests_failed,0.0,False,b75c490f04d00c2cc95853d43823694b1bcc2dd4943baa39dd0eade4ae11d83d,Tests_failed,0.0,False
524,refs/heads/master,a3f9c798cb4ce483a8e47853b8667db0f5fcbc95,50f74c90b1315ac23807f7acdb986c4aa5065243,eacfcd79ddeadcbd728297a25ea2a44d3444fc0f,,6,False,409872a20fefb2fb694ec471c23c3e8718c2321814d971189fc11f291053f548,Tests_failed,0.0,False,0fa02404a27ccabefe2bdc824358fd4d86a729b1c983aab89eaa57aed5f5b093,Tests_failed,0.0,False
527,refs/heads/master,e598d2aea561179797f84865251a495e03df8848,981fed11cbf0f42159a49875cd904f12b41cad88,148aa1842e1f2bd1cedf740502c1fb8dc3702327,,27,True,6e6e08aecf57792d1d2f57e228bc0dacf0e7b66f5214d8b2057d47df01287f52,Tests_failed,0.0,False,409872a20fefb2fb694ec471c23c3e8718c2321814d971189fc11f291053f548,Tests_failed,0.0,False
537,refs/heads/master,58ad4ff7ebb421ef80ab9a9dcd77a24502517c04,bdd04196fa43563dc235ba84ae82f5143dbaf37e,2ad47d99d6d5506b5579f589ae464fc30b895f5b,,4,False,e34b4194479c2e765bdc77a81b59e7795f89b1c7a68044148341a6b0b158b16e,Tests_failed,0.0,False,619c78cced7d135f1e3b4d89cb4b39220f062bbf715df7c185801f436246d4ea,Tests_failed,0.0,False
541,refs/heads/master,55aa97f7f19db1d1bb9c527a5340921ac8d78e1f,f9e9731be2cc253853b8d0f5c1a5c78d4c57fefd,d5ddc2ddd3f989845e68a5df9cbd1443a891bfd4,,113,False,601736e89c3e806932646f85acb40cce39d986861be899e7578c55f6f8b6c484,Tests_failed,0.0,False,32394f2eedafad8d38b4311e147da7aaaaef2748a68d85b27019d31258b40553,Tests_failed,0.0,False
556,refs/heads/master,56d7cf661ba56d97df3da056587fc125ef7551fc,a76788c22369d6e3f271ed6a217b30a5c5c6bcb5,c4add2b07d1b5e5d6f3d45af055d7f6a44ba63f0,,3,False,8fb1d89ff8d73d9cd7a1b25a9570cb498e51791f31852ad5db97f732ab77308d,Tests_failed,0.0,False,c0909977ee2fb7c19288e06f520c79392820836ff0e421fc4d357139c9a077de,Tests_failed,0.0,False
