idx,branch_name,merge,left,right,notes,diff_contains_java_file,diff_size,test merge,sampled for testing,left_tree_fingerprint,right_tree_fingerprint,left parent test result,left parent test coverage,right parent test result,right parent test coverage,parents pass
59,refs/heads/master,a4b777f4e1fcc3865770248e8eeff9d9948d2890,2e87adb0b32d348fc3605dcf4d0270b6fd3f2ce3,bdc33283a18d59ab1cd453c63415befe73170303,,False,23,False,False,,,,,,,
60,refs/heads/master,433f75c5a4ea5ef98cd13bd721e263017438be2f,95b1e16287fc43b25333513f6be519c74562be94,fff6f937c0d941ce3f265f6a28103a4e638cdb54,,False,23,False,False,0b2cbfb722eee3ea236faa7483f20c6888375bd058c7fa4cb6bc9aa6892e6251,ea20e7d2c06331a4280d3caf8b7d9c1722e2eac5dea945d2ce38fbc5a77e6227,Tests_passed,0.0,Tests_passed,0.0,True
62,refs/heads/master,913b202d422d93ce795579ea1eeb9c2d8e049a97,8c2c559e2ea5bafc830cb4b90159b05bbcbc536d,e29312c38b77fd58d4f849703001f042b1f2138b,,True,102,False,False,429c7d15fc990e3a9fffc5f49bad1f81e9a4c2c0b1a16be140456cccd33f0f9b,39bb3bc3445dbb9eaa4953f0b44031f16248ffea9f5dee8713cb33d6940a21c9,Tests_failed,0.0,Tests_failed,0.0,False
65,refs/heads/master,985368f8593311aa2d2a9217c1bef576c9b7bf38,5fdabaff996fd33d93c15b7df8ea7177bdf3c842,4c8ef54cc3fc113bf93ecf2e8d788676bca4c9f5,,True,960,False,False,2a5778d4791a2e2bd0ae189d83d84c7b755df14dca1703d34c06c2fe15b6614e,676f48b9e51940c30387d7effd43d6833ddc2a09cc5dcee8b21b503e5063d29b,Tests_failed,0.0,Tests_failed,0.0,False
66,refs/heads/master,be5bacde7eccb4f5d99c81a8a750b5f603c47a83,a55ed0c869d5b4f4dc65f0375069a4ad78031b03,57e7d64a6a034fa8de754e6417372adfb66ca53d,,True,114,False,False,9ce53d321f6663390923c6a6146b40afc419fdd6782a09d23bdfbff8f872a0be,1da3c9049059c02f1286c88c10fede0ec723440c04287081b772f07992abc8d9,Tests_timedout,0.0,Tests_timedout,0.0,False
67,refs/heads/master,d60c3f427fffdf0e85a2620cd2917490338e054d,2be7e2a67d5cf1f7a4f4c71fcf20a918d0ef7549,532a1ffd8a49db3b86980490c3e8a905f1a3a3f9,,True,371,False,False,6105a9c320e9c55c68003b71ce99cc57bf1be9f54301f4ad5380905cde0bd90c,7389ba642dc3498a303f8260248e408c0dd230177ee27a96abfc453043071d66,Tests_failed,0.0,Tests_failed,0.0,False
69,refs/heads/master,6c94a90fc70a03dfe159208783aac6be5d0a26aa,21705551639ff347e307aa54074ff1f80d46e5e0,df12b8af06d1e2223e35e31c8dd1973eac1e7fb2,,False,64,False,False,,,,,,,
70,refs/heads/master,9fafeacb7d6411a5e872705d4222ff6cd39469e6,e8e37de94d4127b53d80375908015c272ce6c619,50f3800ea16ef60449b9129cc539625e123ebd2e,,False,221,False,False,299466d2ab6047139e31c73baa275e639e1138cc5763a3a529312f0d83b632db,e0f28012371344d4cbcc7f22b24fb36656b8f86c4020855d06ae40fff2930ae7,Tests_failed,0.0,Tests_failed,0.0,False
72,refs/heads/master,c5a7168f3613e2a0ab4b181f127a61175d99384f,d7b4feb91b38469771e438ee5d063e98d418147e,b967fdfd97a88eb96b9955b17c09eff23dd856b7,,True,113,False,False,c9e4ed96c9e1e2c1cc2969680a90f765e9a1d1d2d9572ac6a25b7c9cb2cec17c,556770fc099eaf875a5dec636f7564771a4a43b96e39b54892e30c95bb75ae79,Tests_failed,0.0,Tests_failed,0.0,False
73,refs/heads/master,53b4171351f7441524ebe53178f16752e874a471,d2a8f45aee3ee7e918b5f1fbe98123167467366f,395611b7b7f4032e05d1d7e450c13be7341fa2d0,,False,48,False,False,,,,,,,
