,project name,left,right,base,git merge,spork,intellimerge,runtime git,runtime spork,runtime intellimerge
10,pedrovgs/Algorithms,e121b3943958ba1558d8828db6f13c632e99f298,58129e828567fac52e821ca147feeab87a95d780,e121b3943958ba1558d8828db6f13c632e99f298,2,2,2,0.0904152393341064,0.1091589927673339,8.454044103622437
11,pedrovgs/Algorithms,ae5dac889d19edd6c773e60420f00d4e7177f31f,4342b16e18da9082b32d5b8e9b5b6e3378461ce4,38ec459e6f163991c6f88210720dcda4fecc64e8,2,2,2,0.1080219745635986,0.1415328979492187,5.886960029602051
12,pedrovgs/Algorithms,38ec459e6f163991c6f88210720dcda4fecc64e8,eb3260404e596031bc9ee037b29bd1fcbb87f625,38ec459e6f163991c6f88210720dcda4fecc64e8,2,2,2,0.0768470764160156,0.1070389747619628,6.259991884231567
13,pedrovgs/Algorithms,60d87e9a120e330eb34c9d558d0f00e52b5ce438,aa882141f26ef82107658c214ec18a799403bb57,60d87e9a120e330eb34c9d558d0f00e52b5ce438,2,2,2,0.1170492172241211,0.1033768653869628,6.3339807987213135
14,pedrovgs/Algorithms,2c4e69eb243a81ba05d24456b3cad7e8a696f630,8a1a1a7fb53732edaf17ef9876545c4bca568e05,60d87e9a120e330eb34c9d558d0f00e52b5ce438,1,2,1,0.1475458145141601,13.855086088180542,114.81220889091492
15,pedrovgs/Algorithms,bceffabe0d850ea9c67c93a9fb578d2ca8600022,9aa3611952f1715d8f5cf6404a3dad0e95bf175f,bceffabe0d850ea9c67c93a9fb578d2ca8600022,2,2,2,0.0989570617675781,0.1153478622436523,107.15845990180968
16,pedrovgs/Algorithms,247b66cb2c7792336c5d1c2c1502a55d5222c823,67360ca7159643f3a9fc20f30e164b36a4e4f859,7f89b8c5fbe85848e96a0cdaffb83664588c8474,2,2,2,0.1485767364501953,0.1439778804779052,106.3432879447937
17,pedrovgs/Algorithms,c7c288a43e324748f1f25ee72f9639d808c70b7e,7f89b8c5fbe85848e96a0cdaffb83664588c8474,c7c288a43e324748f1f25ee72f9639d808c70b7e,2,2,2,0.1010842323303222,0.1078190803527832,111.26961994171144
18,pedrovgs/Algorithms,ffa4a6ccd332fad6dc1c5a269b3854a5a2bfff91,296f6b09446b63e8b036e4840879c2d890ae925d,ffa4a6ccd332fad6dc1c5a269b3854a5a2bfff91,2,2,2,0.0964140892028808,0.1079621315002441,57.23444890975952
19,pedrovgs/Algorithms,ffa4a6ccd332fad6dc1c5a269b3854a5a2bfff91,deaa316e2165940e50e4e00e83e18d27417fb642,ffa4a6ccd332fad6dc1c5a269b3854a5a2bfff91,2,2,2,0.1110358238220214,0.1074609756469726,4.279978036880493
20,pedrovgs/Algorithms,128ccf0f25f401f2218c03166a6f4ebc5ce21385,03d7c1872d5b17434fd460f7b8a0b8c9c90849f7,128ccf0f25f401f2218c03166a6f4ebc5ce21385,2,2,2,0.102881908416748,0.1049489974975586,4.021577119827271
21,pedrovgs/Algorithms,1f8f61c50d4e36ab8677b271a58648e90a2f1b28,22ee3ce03f74349ed3b0f36bfdf1dc119e2be70b,1f8f61c50d4e36ab8677b271a58648e90a2f1b28,2,2,2,0.1038107872009277,0.107213020324707,2.815551996231079
22,pedrovgs/Algorithms,7ebdadbc657a68da22826ce3cc402e3635e80d4c,fd87cbc2cdbe813564f0a2c7e8070964220cdcc6,7ebdadbc657a68da22826ce3cc402e3635e80d4c,2,2,2,0.0959701538085937,0.1055831909179687,3.4409780502319336
