idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,left parent test result,left_tree_fingerprint,non_java_involved,num_diff_files,num_diff_lines,parents pass,right parent test result,right_tree_fingerprint,test merge,sampled for testing
65,refs/heads/master,bc6c2eff82bc4328cdaaccd1931c5d58f02395d7,5620c1e2089126e68a71750b8d15126e0d5d2180,33363942cb5bafd07f412138662502db43c66faa,,False,False,,,True,7,80,,,,False,False
66,refs/heads/master,bbd95b8c4f195098120acd6e5d367aeed89240fb,399495bc270609726905f817c1dce1271679c9fb,79e5d9cdd69b32f6524da7a15b49a045c2dd698f,,False,False,,,True,5,7,,,,False,False
67,refs/heads/master,389095b77153d2ff4c70b9eec06919ec0a13511e,91eb6b81bebeac6ff1c1fd741117aa6dc107843c,be9e75f7f0fbcd7836b75629e4a76fbc86b032a6,,False,False,,,True,4,28,,,,False,False
69,refs/heads/master,bd7985738f45ba3767203009e57a50b10402c9a2,835267b0f2387410cc9c6fddc36968b8bd0f3be6,ea595686a49d145d1c111f606e43a64906b446bf,,False,False,,,True,5,65,,,,False,False
70,refs/heads/master,2a6f184e93b0b93acdce862a62816c1c3382adfc,542773911b3b3c9e93fac2da533f86b9acce23f5,8e8ba16f677ee934230e24d735711bba9a2cb686,,False,False,,,True,3,11,,,,False,False
71,refs/heads/master,5ae20a01123842576d043b24e8ae411e8d8bbcd2,9b2330e2cc9328be89245aa572e485d0bdb3b012,3c32ce34620332a5ea6dc36493b0c9469f156037,,False,False,,,True,3,8,,,,False,False
78,refs/heads/master,c72866014927cd040cd72333d259be7dcbada112,fda91608a6db7c6de52dac445558cb5b65e7a373,41fe900752b2687138619ba7ccbcd70659814ef7,,False,True,,,True,49,601,,,,False,False
79,refs/heads/master,fda91608a6db7c6de52dac445558cb5b65e7a373,0add26a682b18e2b9a271aff09f0ab80f66ec760,b82fc66b3ed6098f7235a0980105e0666ced69bc,,False,True,,,True,49,612,,,,False,False
80,refs/heads/master,0add26a682b18e2b9a271aff09f0ab80f66ec760,71c0242f55a2f6dc774be0ac5ba087e33b700bb0,b7b13a28cfcc1dbe4cdfb3241d7d37c3f83e96e1,,False,True,,,True,132,1897,,,,False,False
81,refs/heads/master,71c0242f55a2f6dc774be0ac5ba087e33b700bb0,669c2abf2845af28332fcc6006ea61a0a0121244,5f9dcfa1f2bc54be1f168b5880942005f85006b9,,False,True,,,True,49,595,,,,False,False
