idx,num_files,num_intersecting_files,num_hunks,num_lines,num_intersecting_lines,imports,non_java_files
425-5,250,37,1282,34297,0,True,True
425-13,17,7,70,374,0,True,True
425-25,16,2,95,1246,0,True,True
470-14,8,2,14,68,0,True,True
522-15,5,2,25,580,0,True,True
557-4,5,5,11,111,0,True,True
569-4,13,2,33,548,0,True,True
582-5,20,2,66,851,0,True,True
622-1,19,2,20,982,0,True,True
680-26,67,3,250,5935,0,True,True
680-40,6,2,17,98,0,True,True
680-50,25,2,77,562,0,True,True
680-91,30,2,97,476,0,True,True
680-149,11,2,19,244,0,True,True
680-152,7,2,35,255,0,True,True
680-176,2,2,3,19,0,False,True
680-197,89,2,473,2818,0,True,True
680-203,17,2,47,234,0,True,True
680-209,9,2,18,317,0,True,True
680-221,3,2,4,62,0,True,True
680-237,16,2,27,159,0,True,True
680-258,79,22,733,3266,0,True,True
680-259,12,3,55,422,0,True,True
680-262,33,26,23,115,0,True,True
680-263,44,36,236,508,0,True,True
680-275,4,2,11,41,0,False,True
680-276,6,2,17,221,0,True,True
681-25,34,2,57,268,0,True,True
681-31,27,2,91,316,0,True,True
681-50,6,3,32,100,0,True,True
681-52,5,2,7,22,0,True,True
681-56,26,3,79,263,0,True,True
683-66,11,2,19,399,0,True,True
683-103,18,2,69,784,0,True,True
708-4,39,3,164,1595,0,True,True
769-26,132,3,276,692,0,True,True
784-6,40,4,116,1688,0,True,True
859-897,144,9,1041,11124,0,True,True
859-955,9,2,26,503,0,True,True
859-960,18,2,77,1413,0,True,True
859-2578,19,2,215,1288,0,True,True
859-2594,53,3,140,3015,0,True,True
937-7,6,2,32,173,0,True,True
937-11,5,2,16,137,0,False,True
953-2,23,4,73,391,0,True,True
980-1,13,3,80,481,0,True,True
1009-10,5,2,14,119,0,True,True
1017-30,15,3,95,904,0,True,True
1017-32,29,7,135,1610,0,True,True
1109-2,115,92,160,1472,0,True,True
1123-47,304,293,38,24936,0,True,True
1123-82,157,13,1518,42426,0,True,True
1123-83,157,13,1518,42426,0,True,True
1123-98,187,18,931,23206,0,True,True
1123-99,187,18,931,23206,0,True,True
1123-110,10,3,505,7607,0,True,True
1123-111,10,3,505,7607,0,True,True
1123-112,20,5,567,5822,0,True,True
1123-113,20,5,567,5822,0,True,True
1154-6,56,3,315,1682,0,True,True
1154-24,32,2,176,1911,0,True,True
1154-58,5,2,28,64,0,True,True
1154-80,30,4,72,1048,0,True,True
1154-86,12,2,40,157,0,True,True
1154-109,6,2,7,16,0,True,True
1154-148,10,6,8,28,0,True,True
1159-42,26,7,145,913,0,True,True
1159-45,24,3,126,788,0,True,True
1159-50,16,3,41,134,0,True,True
1159-66,30,4,74,317639,0,True,True
1195-85,7,2,12,75,0,True,True
1195-295,3,2,9,51,0,True,True
1195-297,5,3,56,375,0,True,True
1195-300,3,3,28,137,0,True,True
1195-303,5,3,16,95,0,True,True
1195-314,4,3,16,138,0,True,True
1195-317,5,2,9,50,0,False,True
1195-349,3,2,4,20,0,True,True
1195-351,27,10,149,818,0,True,True
1195-352,2,2,1,2,0,False,True
1195-393,18,2,47,301,0,True,True
1195-395,16,4,59,458,0,True,True
1215-146,140,2,533,2521,0,True,True
1215-153,89,3,505,3399,0,True,True
1215-160,293,2,2043,8318,0,True,True
1215-230,136,5,204,363,0,True,True
1215-245,8,2,30,121,0,True,True
1215-461,235,15,1204,3047,0,True,True
1215-527,14,3,58,270,0,True,True
1215-575,138,6,204,985,0,True,True
1215-645,100,3,229,2046,0,True,True
1215-733,219,11,466,2836,0,True,True
1215-813,31,8,158,1424,0,True,True
1215-948,20,3,45,166,0,True,True
1215-982,119,5,355,3485,0,True,True
1215-1041,219,28,1471,5177,0,True,True
1215-1058,662,53,2089,17149,0,True,True
1215-1229,43,4,210,1679,0,True,True
1215-1515,58,2,191,807,0,True,True
1215-1570,22,4,59,388,0,True,True
1215-1573,50,2,102,1028,0,True,True
1215-1580,23,4,83,394,0,True,True
1215-1615,137,4,965,5318,0,True,True
1215-1668,158,6,499,2426,0,True,True
1215-1678,958,2,1524,14505,0,True,True
1215-1787,12,3,37,200,0,True,True
1215-1791,130,4,650,1803,0,True,True
1215-1866,36,4,457,948,0,True,True
1215-2009,29,4,105,656,0,True,True
1215-2054,6,2,12,124,0,True,True
1215-2293,218,2,805,3311,0,True,True
1215-2341,237,9,1332,9363,0,True,True
1215-2375,11,2,36,106,0,True,True
1215-2424,26,6,76,314,0,True,True
1215-2445,413,9,3902,16326,0,True,True
1215-2567,183,7,2325,5239,0,True,True
1215-2575,157,5,789,3113,0,True,True
1215-2633,38,3,74,539,0,True,True
1215-2647,32,2,50,436,0,True,True
1215-2651,218,18,419,2691,0,True,True
1215-2663,253,2,2598,6194,0,True,True
1215-2720,18,4,47,296,0,True,True
1215-2858,170,15,547,1482,0,True,True
1215-2934,109,2,224,1413,0,True,True
1215-3168,61,2,246,2675,0,True,True
1215-3206,342,3,2186,12572,0,True,True
1215-3246,560,5,1250,4773,0,True,True
1215-3254,108,3,266,1354,0,True,True
1215-3280,63,2,684,3662,0,True,True
1215-3294,54,4,464,1972,0,True,True
1215-3301,40,7,245,1621,0,True,True
1215-3310,64,3,416,2463,0,True,True
1215-3325,17,8,334,893,0,True,True
1226-3,34,4,73,669,0,True,True
1231-398,27,2,79,884,0,True,True
1231-455,2,2,7,21,0,True,True
1231-479,28,2,97,1000,0,True,True
1231-483,3,2,9,33,0,False,True
1231-485,2,2,3,15,0,True,True
1231-486,13,2,30,316,0,True,True
1234-5,6,3,29,72,0,True,True
1234-24,7,2,18,808,0,True,True
1258-3,11,2,41,185,0,True,True
1258-4,17,2,60,159,0,True,True
1258-5,3,2,59,136,0,True,True
1258-9,6,2,9,40,0,True,True
1258-11,48,3,312,4018,0,True,True
1258-13,47,5,306,3724,0,True,True
1258-17,25,3,132,1483,0,True,True
1258-26,28,5,47,3509,0,True,True
1258-35,7,2,76,188,0,True,True
1258-36,21,15,28,83,0,True,True
1258-38,15,2,47,332,0,True,True
1267-7,14,2,57,172,0,True,True
1270-2,8,3,18,43,0,True,True
1270-6,7,2,25,90,0,False,True
1270-9,3,3,2,10,0,False,True
1283-65,78,2,128,1869,0,True,True
1283-80,15,2,16,55,0,True,True
1283-148,33,8,170,489,0,True,True
1322-21,38,7,399,2427,0,True,True
1322-24,56,2,144,583,0,True,True
1322-36,58,2,617,3575,0,True,True
1322-37,4,4,1,2,0,False,True
1358-15,9,3,33,189,0,True,True
1358-53,17,3,57,1734,0,True,True
1360-3,17,6,104,572,0,True,True
1360-6,14,5,94,1210,0,True,True
1360-38,3,2,32,208,0,True,True
1431-3,17,6,104,572,0,True,True
1431-6,14,5,94,1210,0,True,True
1431-38,3,2,32,208,0,True,True
1480-195,23,2,77,500,0,True,True
1480-299,5,3,16,76,0,True,True
1562-11,2,2,5,38,0,True,True
1562-16,21,3,90,390,0,True,True
1566-5,3,2,4,13,0,True,True
1573-2,42,4,188,1230,0,True,True
1632-4,7,2,109,972,0,True,True
1632-5,5,2,16,997,0,True,True
1634-44,3,2,3,17,0,False,True
1648-1,160,12,641,3085,0,True,True
1648-18,2,2,1,5,0,False,True
1648-22,13,4,38,336,0,True,True
1682-9,88,30,208,8979,0,True,True
1682-12,38,3,119,767,0,True,True
1682-13,42,4,132,952,0,True,True
1682-17,94,3,72,3266,0,True,True
1687-24,15,2,21,220,0,True,True
1687-30,11,2,60,305,0,True,True
1687-31,18,6,79,339,0,True,True
1687-32,19,16,15,315,0,True,True
1690-3,5,2,62,152,0,True,True
1690-5,44,2,194,459,0,True,True
1690-6,63,2,179,313,0,True,True
1690-14,4,2,9,77,0,True,True
1690-33,10,2,14,207,0,True,True
1690-34,13,3,20,402,0,True,True
1690-35,4,2,4,10,0,False,True
1690-50,195,7,1103,3701,0,True,True
1690-69,23,3,92,612,0,True,True
1690-101,43,14,49,213,0,True,True
1690-103,7,3,15,67,0,True,True
1690-105,265,7,1073,17067,0,True,True
1690-113,42,3,126,1410,0,True,True
1690-119,6,3,11,449,0,True,True
1690-139,6,2,18,91,0,True,True
1696-15,34,6,162,958,0,True,True
1714-10,77,2,589,13633,0,True,True
1714-24,2,2,5,36,0,True,True
1714-27,7,2,25,227,0,True,True
1714-86,32,2,111,3765,0,True,True
1714-87,32,3,177,4283,0,True,True
1714-88,46,5,242,4447,0,True,True
1714-92,255,255,3,41,0,True,True
1714-96,121,5,387,9369,0,True,True
1720-17,9,2,40,141,0,True,True
1720-27,5,2,14,96,0,True,True
1720-50,44,3,92,824,0,True,True
1741-4,20,3,38,614,0,True,True
1741-5,9,3,12,152,0,True,True
1832-16,18,2,41,352,0,True,True
1832-39,8,2,7,361,0,True,True
1854-8,17,3,70,438,0,True,True
1885-193,26,2,63,739,0,True,True
1885-329,285,3,401,4540,0,True,True
1885-380,2207,11,4142,44855,0,True,True
1885-393,888,3,1674,14494,0,True,True
1885-411,120,4,343,3382,0,True,True
1885-445,2014,9,2916,31854,0,True,True
1885-458,1958,5,2779,25734,0,True,True
1885-461,146,2,186,3190,0,True,True
1885-468,510,2,775,10484,0,True,True
1885-489,150,3,319,2105,0,True,True
1885-492,85,2,156,784,0,True,True
1885-505,303,4,462,6610,0,True,True
1885-513,34,2,92,486,0,True,True
1885-514,25,2,75,655,0,True,True
1885-529,247,3,625,7064,0,True,True
1885-864,44,2,69,3050,0,True,True
1885-867,20,6,17,1047,0,False,True
1916-20,72,2,492,20450,0,True,True
1916-21,82,5,856,4405,0,True,True
1916-26,20,3,292,2505,0,True,True
1922-5,32,2,43,17892,0,True,True
1943-4,10,3,107,574,0,True,True
2005-5,11,2,97,1569,0,True,True
2045-8,39,6,81,1497,0,True,True
2045-11,27,2,130,515,0,True,True
2045-13,65,2,388,1419,0,True,True
2045-16,29,3,71,535,0,True,True
2045-18,62,7,388,1527,0,True,True
2045-29,10,2,16,187,0,True,True
2045-30,30,4,72,1646,0,True,True
2045-40,50,2,263,1920,0,True,True
2045-41,24,3,38,1201,0,True,True
2045-43,52,3,293,1687,0,True,True
2045-53,10,2,38,657,0,True,True
2045-54,15,2,58,403,0,True,True
2045-58,20,2,80,660,0,True,True
2045-59,43,2,205,1865,0,True,True
2045-62,25,4,89,681,0,True,True
2045-64,83,3,439,2297,0,True,True
2045-65,20,2,55,501,0,True,True
2045-66,7,2,10,34,0,True,True
2045-67,16,2,53,373,0,True,True
2045-68,13,2,54,291,0,True,True
2045-71,39,7,171,1559,0,True,True
2045-76,41,2,132,1852,0,True,True
2045-82,50,5,232,1272,0,True,True
2045-83,12,2,29,173,0,True,True
2045-87,79,6,390,2421,0,True,True
2045-92,16,2,61,388,0,True,True
2045-94,11,3,63,397,0,True,True
2045-96,10,2,26,347,0,True,True
2045-100,9,3,48,285,0,True,True
2045-102,6,2,22,464,0,True,True
2045-104,3,2,6,23,0,True,True
2053-31,84,14,182,633,0,True,True
2058-3,125,7,584,3062,0,True,True
2058-5,119,4,547,2944,0,True,True
2058-7,119,4,560,1497,0,True,True
2064-22,52,3,193,647,0,True,True
2064-24,11,2,28,122,0,True,True
2064-33,18,5,81,1992,0,True,True
2104-4,215,18,296,1066,0,True,True
2123-4,20,3,38,614,0,True,True
2123-5,9,3,12,152,0,True,True
2132-6,9,2,33,128,0,True,True
2157-13,48,5,158,1174,0,True,True
2157-23,14,2,46,224,0,True,True
2162-8,39,6,81,1497,0,True,True
2162-11,27,2,130,515,0,True,True
2162-13,65,2,388,1419,0,True,True
2162-16,29,3,71,535,0,True,True
2162-29,10,2,16,187,0,True,True
2162-40,50,2,263,1920,0,True,True
2162-41,24,3,38,1201,0,True,True
2162-43,52,3,293,1687,0,True,True
2162-53,10,2,38,657,0,True,True
2162-58,20,2,80,660,0,True,True
2162-59,43,2,205,1865,0,True,True
2162-62,25,4,89,681,0,True,True
2162-64,83,3,439,2297,0,True,True
2162-65,20,2,55,501,0,True,True
2162-66,7,2,10,34,0,True,True
2162-67,16,2,53,373,0,True,True
2162-68,13,2,54,291,0,True,True
2162-71,39,7,171,1559,0,True,True
2162-76,41,2,132,1852,0,True,True
2162-79,12,4,69,267,0,True,True
2162-82,50,5,232,1272,0,True,True
2162-83,12,2,29,173,0,True,True
2162-87,79,6,390,2421,0,True,True
2162-88,11,2,70,431,0,True,True
2162-92,16,2,61,388,0,True,True
2162-94,11,3,63,397,0,True,True
2162-96,10,2,26,347,0,True,True
2162-100,9,3,48,285,0,True,True
2162-102,6,2,22,464,0,True,True
2162-104,3,2,6,23,0,True,True
2178-18,3,3,9,76,0,False,True
2178-19,29,2,121,1159,0,True,True
2178-27,11,4,33,450,0,True,True
2178-103,16,3,35,434,0,True,True
2178-150,8,2,11,166,0,True,True
2178-157,19,2,36,203,0,True,True
2178-161,8,4,10,22,0,False,True
2178-198,7,2,22,6954,0,True,True
2178-235,3,3,7,167,0,True,True
2178-452,11,2,20,245,0,True,True
2178-1070,6,3,6,34,0,False,True
2178-1082,5,3,285,910,0,True,True
2178-1149,9,3,18,266,0,True,True
2178-1157,8,3,21,208,0,True,True
2178-1166,27,2,68,540,0,True,True
2178-1242,8,2,21,163,0,False,True
2178-1256,12,3,27,507,0,True,True
2188-4,26,2,45,457,0,True,True
2188-7,14,4,41,151,0,True,True
2188-9,31,2,76,262,0,True,True
2225-5,11,3,21,1025,0,True,True
2238-1,68,3,185,4055,0,True,True
2238-8,52,3,98,374,0,True,True
2238-9,149,2,1667,12132,0,True,True
2238-11,18,2,111,648,0,True,True
2238-12,373,13,1584,17538,0,True,True
2238-15,37,6,129,2854,0,True,True
2238-25,219,19,1252,13748,0,True,True
2238-26,164,4,750,10581,0,True,True
2238-29,149,3,721,7768,0,True,True
2238-30,150,4,744,7773,0,True,True
2238-31,167,21,878,8649,0,True,True
2238-33,9,6,59,281,0,True,True
2238-65,19,3,116,607,0,True,True
2238-70,90,3,418,4472,0,True,True
2238-71,7,2,34,139,0,True,True
2238-72,12,2,57,305,0,True,True
2238-74,17,2,87,636,0,True,True
2238-78,67,19,473,2148,0,True,True
2238-82,140,46,422,1837,0,True,True
2238-83,32,5,220,1176,0,True,True
2238-84,66,2,416,2904,0,True,True
2238-85,126,16,840,4237,0,True,True
2238-129,9,6,59,281,0,True,True
2238-147,219,19,1252,13748,0,True,True
2238-148,164,4,750,10581,0,True,True
2238-151,149,3,721,7768,0,True,True
2238-152,150,4,744,7773,0,True,True
2238-153,167,21,878,8649,0,True,True
2238-164,54,5,213,1959,0,True,True
2238-166,36,3,236,1589,0,True,True
2238-172,158,3,734,8767,0,True,True
2309-6,10,2,54,371,0,True,True
2309-27,3,2,4,19,0,False,True
2309-28,9,2,97,757,0,True,True
2318-2,82,3,116,407,0,True,True
2318-3,82,3,96,278,0,True,True
2343-94,57,37,224,1825,0,True,True
2343-101,105,2,98,1199,0,True,True
2343-114,36,4,130,542,0,True,True
2350-5,3,2,7,32,0,False,True
2350-7,3,2,6,204,0,True,True
2361-40,16,2,39,774,0,True,True
2388-6,5,3,13,32,0,True,True
2388-8,19,5,89,800,0,True,True
2439-5,3,3,20,219,0,False,True
2439-19,4,4,10,78,0,True,True
2483-24,5,2,20,97,0,True,True
2483-52,4,2,6,29,0,False,True
2483-265,68,2,190,345,0,True,True
2483-423,2,2,3,7,0,False,True
2483-505,12,2,20,89,0,True,True
2483-1127,119,2,249,1218,0,True,True
2483-1201,64,2,387,3977,0,True,True
2483-1218,14,3,23,66,0,True,True
2507-7,25,3,62,420,0,True,True
2507-17,38,5,148,1667,0,True,True
2507-24,38,6,160,765,0,True,True
2507-37,44,10,147,1996,0,True,True
2507-41,4,2,9,64,0,True,True
2507-43,14,2,57,280,0,True,True
2507-59,36,2,112,941,0,True,True
2507-79,35,5,223,1108,0,True,True
2507-80,13,4,41,286,0,True,True
2507-83,82,2,422,2223,0,True,True
2507-84,6,2,32,231,0,True,True
2553-8,17,3,59,431,0,True,True
2553-9,16,3,53,270,0,True,True
2713-4,119,2,345,770,0,True,True
2725-5,3,2,7,32,0,False,True
2725-7,3,2,6,204,0,True,True
2809-2,25,23,23,110,0,True,True
2809-5,10,2,16,314,0,True,True
2809-6,50,30,77,1178,0,True,True
2841-21,9,2,36,320,0,True,True
2841-25,8,3,65,255,0,True,True
2841-28,12,2,46,222,0,True,True
2841-31,8,3,58,310,0,True,True
2853-30,19,6,106,607,0,True,True
2853-33,21,3,92,474,0,True,True
2853-143,312,10,2699,57620,0,True,True
2864-6,12,2,41,406,0,True,True
2864-10,11,2,37,332,0,True,True
2867-1,40,2,268,1561,0,True,True
2906-3,15,2,40,690,0,True,True
2908-85,22,2,89,828,0,True,True
2910-1,85,2,607,4493,0,True,True
2910-18,5,2,22,83,0,True,True
2910-21,8,2,34,494,0,True,True
2916-2,5,4,12,114,0,True,True
2947-10,27,8,72,716,0,True,True
2947-43,29,3,128,1828,0,True,True
2947-68,3,2,15,104,0,True,True
2947-72,35,9,168,484,0,True,True
2947-82,28,7,74,353,0,True,True
2947-83,62,11,161,368,0,True,True
2955-13,661,13,973,4364,0,True,True
2955-17,44,2,160,2888,0,True,True
2955-73,160,4,1114,6126,0,True,True
2955-83,10,2,77,1067,0,True,True
2955-90,17,2,60,169,0,True,True
2955-96,463,3,636,8611,0,True,True
2955-97,463,13,642,8604,0,True,True
2955-108,446,2,520,5603,0,True,True
2955-109,446,2,518,5583,0,True,True
2955-622,659,5,842,3447,0,True,True
2955-666,663,2,1034,4628,0,True,True
2963-57,6,3,17,126,0,True,True
2963-59,7,2,25,138,0,True,True
2963-64,9,2,40,301,0,True,True
2963-69,6,3,29,200,0,True,True
2963-74,30,6,106,1190,0,True,True
2967-2,27,2,69,2109,0,True,True
2967-31,20,3,51,1698,0,True,True
2967-103,164,159,79,325,0,True,True
3074-109,12,2,32,903,0,True,True
3111-25,3,3,15,138,0,True,True
3153-6,18,3,17,1859,0,True,True
3183-5,73,6,146,4086,0,True,True
3183-11,27,3,84,260,0,True,True
3183-12,24,3,61,172,0,True,True
3183-13,23,3,54,131,0,True,True
3183-20,18,2,83,613,0,True,True
3190-7,19,19,10,44,0,True,True
3221-24,8,7,4,14,0,False,True
3257-2,3,2,5,37,0,False,True
3343-57,35,4,79,507,0,True,True
3437-11,36,8,98,808,0,True,True
3437-16,12,2,43,355,0,True,True
3437-19,8,2,20,88,0,True,True
3437-23,16,14,11,59,0,False,True
3466-43,22,11,55,435,0,True,True
3466-171,23,3,66,1095,0,True,True
3466-209,25,2,183,1317,0,True,True
3466-215,738,8,3180,80452,0,True,True
3466-219,19,11,13,25,0,True,True
3466-239,47,3,128,292,0,True,True
3466-245,11,2,26,1090,0,True,True
3466-248,44,2,125,562,0,True,True
3490-3,4,2,20,70,0,True,True
3490-6,3,2,19,60,0,True,True
3490-10,2,2,34,91,0,True,True
3498-7,17,3,80,544,0,True,True
3498-8,17,3,74,524,0,True,True
3498-11,12,3,81,373,0,True,True
3590-1,19,4,50,393,0,True,True
3590-7,12,2,21,370,0,True,True
3596-14,42,3,126,655,0,True,True
3596-70,85,3,294,4011,0,True,True
3596-71,7,3,16,69,0,True,True
3596-73,12,2,30,193,0,True,True
3596-79,22,2,42,272,0,True,True
3596-108,16,2,36,545,0,True,True
3596-110,12,5,37,228,0,True,True
3596-111,24,2,111,477,0,True,True
3596-112,27,5,102,683,0,True,True
3596-116,2,2,5,26,0,True,True
3596-121,33,2,96,914,0,True,True
3603-5,7,3,23,186,0,True,True
3629-9,46,6,49,425,0,True,True
3631-1,4,2,29,256,0,True,True
3631-11,7,6,10,34,0,False,True
3631-12,7,2,42,114,0,True,True
3643-23,5,3,14,78,0,True,True
3643-24,5,2,12,71,0,True,True
3692-112,36,14,133,1188,0,True,True
3743-7,23,4,61,697,0,True,True
3743-57,11,3,35,236,0,True,True
3743-66,35,2,97,1467,0,True,True
3743-83,35,3,78,1781,0,True,True
3743-111,57,18,80,1848,0,True,True
3743-120,22,6,75,498,0,True,True
3743-137,548,9,2261,40274,0,True,True
3743-139,388,2,1263,24871,0,True,True
3743-140,395,36,1416,25396,0,True,True
3743-141,4,4,1,2,0,True,True
3743-142,15,3,38,127,0,True,True
3743-143,15,2,36,123,0,True,True
3780-32,4,2,20,104,0,True,True
3793-239,32,2,254,784,0,True,True
3793-241,116,6,603,6024,0,True,True
3793-244,190,12,754,11367,0,True,True
3793-245,133,3,591,6469,0,True,True
3793-246,149,15,555,6219,0,True,True
3793-255,270,3,1324,22262,0,True,True
3793-258,93,2,284,6472,0,True,True
3793-260,89,4,408,2496,0,True,True
3793-261,107,3,258,3323,0,True,True
3793-264,20,11,77,231,0,True,True
3793-274,6,2,11,49,0,True,True
3814-33,29,5,173,876,0,True,True
3814-166,6,2,11,28,0,True,True
3814-172,3,3,4,278,0,True,True
3814-376,32,2,225,1166,0,True,True
3814-452,17,15,5,23,0,False,True
3879-6,29,2,100,807,0,True,True
3879-29,33,4,139,966,0,True,True
3879-31,23,2,40,418,0,True,True
3879-32,24,2,43,430,0,True,True
3879-35,10,2,16,54,0,True,True
3880-10,18,2,81,572,0,True,True
3880-21,10,2,35,326,0,True,True
3880-22,8,2,34,229,0,True,True
3880-34,20,15,47,212,0,True,True
3880-38,12,4,85,425,0,True,True
3880-46,26,9,194,1674,0,True,True
3880-48,19,2,35,206,0,False,True
3880-49,10,3,32,258,0,True,True
3880-50,14,4,124,1268,0,True,True
3880-80,9,2,34,120,0,False,True
3880-97,29,2,71,304,0,True,True
3880-104,15,3,46,206,0,True,True
3880-105,6,2,15,68,0,True,True
3882-15,5,5,3,7,0,True,True
3882-22,5,5,2,4,0,False,True
3912-70,185,184,60,233,0,True,True
3964-28,47,4,188,2646,0,True,True
3964-29,23,22,7,18,0,False,True
3964-52,33,12,80,363,0,True,True
3964-73,26,2,95,3042,0,True,True
3964-76,23,3,86,3072,0,True,True
3964-80,17,2,63,2084,0,True,True
3964-104,99,11,262,4931,0,True,True
3964-106,74,5,94,2828,0,True,True
3964-107,19,4,94,1316,0,True,True
3964-113,46,6,183,3083,0,True,True
3984-15,4,2,9,36,0,False,True
3984-19,7,4,17,54,0,True,True
3984-26,5,2,10,111,0,False,True
3984-31,17,4,16,175,0,True,True
3984-38,24,17,10,79,0,True,True
3986-6,5,3,13,32,0,True,True
4043-44,240,5,247,557,0,False,True
4043-52,6,2,10,292,0,True,True
4043-71,62,2,150,1243,0,True,True
4043-72,19,3,50,1373,0,True,True
4045-52,4,3,7,34,0,True,True
4058-4,10,3,60,189,0,True,True
4127-9,6,2,15,188,0,True,True
4134-94,184,106,108,589,0,True,True
4142-5,19,3,88,1466,0,True,True
4153-5,5,2,10,130,0,False,True
4194-5,45,2,181,2344,0,True,True
4194-7,162,27,521,9036,0,True,True
4245-2,7,2,29,200,0,True,True
4246-2,24,3,58,548,0,True,True
4249-148,5,3,11,47,0,True,True
4249-153,116,3,340,5226,0,True,True
4249-154,320,2,595,6421,0,True,True
4258-4,19,5,61,353,0,True,True
4258-10,15,3,97,426,0,True,True
4258-11,77,13,253,1483,0,True,True
4258-13,28,4,134,596,0,True,True
4258-16,92,85,53,436,0,True,True
4258-26,6,2,18,138,0,True,True
4258-27,9,2,67,310,0,True,True
4258-28,4,3,12,87,0,True,True
4258-59,15,2,48,111,0,True,True
4258-63,274,8,1310,8275,0,True,True
4258-64,29,4,102,489,0,True,True
