idx,repository,head hash,head tree fingerprint,head test result
8793,liquibase/liquibase,6f1f65031873a3daa1ed87bdf866d6912d22fb06,51b15a56a376b5a3e3c69a75ffe7ab6dfa46136a49dd9a2113654d66f0d8d5a9,Tests_passed
8842,liyiorg/weixin-popular,864994ee4841b08535db3ea6062489663adb672f,5444861830de0500c0c7faaa00558c7082e239270025e1b68dd0000d2de43845,Tests_passed
8906,logstash/logstash-logback-encoder,b1e7653914fba93baf6042b15d44e54909879e4f,fc6790f62eb49f6f50a846e608592f2b4637ce21620dce9e58136aa6f1024e8e,Tests_passed
9094,macrozheng/mall,3a63e174671f27f49074203ceffcd571c457d64e,c152e8defedb907cc226232dc86a434361cc2a89641850b8d3ee3483e5e61cc2,Tests_passed
9499,medcl/elasticsearch-analysis-ik,13c39692387d314fa0b9afda605ec54a3ac2ffe7,e282d50d8be61b6a5c4db8268034128f0293dc4e2e87fe2dc464a3c2d9c9f934,Tests_passed
9500,medcl/elasticsearch-analysis-pinyin,cb04ca46eae601d2be3a64ba205a86b69b025429,f4efdf0b29c89204161b0043702bc067d1a984146ece5b9171af33c66879971a,Tests_passed
10017,mojohaus/exec-maven-plugin,4c2980a7e73515be2128976b63a73439e7747648,3a6ef4cbd7606fe4cce4ae2bc61eb75f621b941da164ee5966ba92631ff24555,Tests_passed
10083,moquette-io/moquette,39b1688cb720876d61aad4d323a99b5cf884692d,b7ed59ef6ed429ec4b3ae493591c1ae904d36b169cf4f9b9149f71cdc66170fd,Tests_passed
10173,mpusher/mpush,f8d5c97f30b2bde12f1b60d11709ae1b75587a2e,605f9ddbe1b2acb19abd6a7fbbb17c5f7680bc962b5540f34789e8cdc2d220a5,Tests_passed
10283,mybatis/mybatis-3,d218e27c9173f30c730a2d0feedf73a4c76b6c47,b915bad98f3e854385b51267314b0133957f37702c93aa210d95217579eb899f,Tests_passed
10285,mybatis/spring,8d8e362446001dcf3480d63e4b157eab9b49599a,292a52e319d08e36f4176a93451b29b422ff18fa1f1a2d756c7355ba4edb2cff,Tests_passed
10343,nanohttpd/nanohttpd,efb2ebf85a2b06f7c508aba9eaad5377e3a01e81,23512010e0bbef318d2fba7d53130ac20fbe4c206f5ff1d4c7ff228454c5ee9a,Tests_passed
10446,nepxion/discovery,0653cc911fbc5b3a1fa23864411023a81a043019,354add77fdda7e9fe7b6826f9fa73c3d820878c069a0865b045d4d8cda6777b0,Tests_passed
10513,newbee-ltd/newbee-mall,613a662adf1da7623ec34459bc83e3c1b12d8ce7,5f7010ee0ba50ebd40bb6434ac9fd12838f30f1aecda036e3caaf1072ad33193,Tests_passed
10622,ninjaframework/ninja,e5f1945f5861850196f88423020e82f7e43224f9,e7abf404ebe0291afb12077121fbdbcf353d9a17a80198de361452555a8d18be,Tests_passed
10626,ninjudd/drip,a4bd00df0199e78243847f06cc04ecaea31f8f08,79c9065affa899aa8715cbafd9de6effea75022193d904f80f01e0d8063d2281,Tests_passed
11012,oldmanpushcart/greys-anatomy,383d17d4dbc2f0cfcf73ce5b1477204b86f1992a,fb8b1268e5b2ba57c21ff0e2bee5bf74419eaa7853021a07ebb75089ff4368e1,Tests_passed
11042,omcljs/om,3a1fbe9c0e282646fc58550139b491ff9869f96d,a77379e92da182149a63466cdc11ff6c73436b57d5fc0a25698a27e3160f9905,Tests_passed
11115,openapitools/openapi-generator,0d2a01611c8350b596a2b883964da2589e7baa93,cd03396f94be5ddc0818f3dce0c3a4ebf30dcae146428387002a3942c1da66ef,Tests_passed
11149,openhft/chronicle-map,017b0ef69f1e3de95ca4b1933a51cd695580aae8,5355b624fa42e91884b6b3daee2e733600041d031db9d41435dac97a70c0a98b,Tests_passed
11166,openrefine/openrefine,6afbd94843a5ce54fe40f565927235f2dc9b1605,288b59b84d78a99a5e6cfcc9e8c4852b68d12de1d1336ee130447a55542dd621,Tests_passed
11202,openzipkin/zipkin,f2f9aac85579e685798b0bbb8e7c244c494a477f,0f905b2f05a43bce7864df72a6e781076b8adb4c6ee4cf490f0bd5e5423f6c7e,Tests_passed
11337,pac4j/pac4j,5207381234570b31a541cc316f5cef6b35857311,96cc5fdcfda35ae8a29edb4087a2e07ce048bffa4294f8530140ec1086440ae1,Tests_passed
11349,pagehelper/mybatis-pagehelper,1ae113e493b480452c69af931124ebd5c1ce09f6,d6de39e37044ca3d65815831bdb1ad82f43af7a2368a300f856115b44ca8b5d3,Tests_passed
11507,pedrovgs/algorithms,b04396ba1a8bf094494f9ba514ecbe806fdb9776,3c7ee13d6f66c42510e5edb8cff2102d8c61ed625f7cc871397eaa2b1e529895,Tests_passed
11790,pmd/pmd,bdc08e44fd92380d59cdc50cf9d8dd36e537c369,ad933ebc7179d429e867ab5cbdec003af9f081c573143a11a4fb23c54eebbb5d,Tests_passed
12187,qihoo360/xlearning,0cafa45084ada26919d827fc59bb0efd27f9e67e,108ef7b7d2e4b6a580d20e509e456dc4416224cb19e3e601f7a95173d5cb97ce,Tests_passed
12253,querydsl/querydsl,cd608f04ed7534b1b62a78a28beb141071d149b6,5ec4b79ef9ca3347cba34277f721b4c05e359a0716686f930f42eb978086bdbd,Tests_passed
12262,quil/quil,583c9016dfd4a0aeebac08c932f5b62ee5b67079,c77e2b213d7cb5d8c07830412c64f67aca1323fd006ab0ab8caad4b846ee2d66,Tests_passed
12266,qunarcorp/qmq,4942bb43d3e89f7c2c97014ed1bfe58b9e158b4e,fa72691d886ff27506900381bf3333e4e1b22bef82a27b7972a4c0dea70642b4,Tests_passed
12734,rest-assured/rest-assured,718ad4b684656547a4561c1bbbbcfbec409efadf,7c733b3240936680792b33e9bdf8a013aa1118843933733c2c29a2688a4e9ded,Tests_passed
12904,robotiumtech/robotium,75e567c38f26a6a87dc8bef90b3886a20e28d291,2c4eb4bb5fd5cf530fb9f89ecd11d58e6a4953e4d4e5d5e62cb77bb6e72ac439,Tests_passed
12953,roncoo/roncoo-pay,9428382af21cd5568319eae7429b7e1d0332ff40,1b788b2acee5ceabfc8099b8080138706a9267a30dc12e6a7c6a8977d5ca5862,Tests_passed
13052,rubenlagus/telegrambots,f343d17ae4d3b793cb70ed51bd2cc2e05c2a6e4a,76c091ad2cc0b6bc5cf8be141256c70298aa16e8bccdc63900ca92eef28aada1,Tests_passed
13098,runelite/runelite,bbaf9709e2372f45592d549e95e9cb54ffd93a70,49fd458f8a127b53535ef1edea72d1ffeafbcf5fdf56ec2024041093430f348d,Tests_passed
13251,sap/openui5,3bbcad1277cd5fbacdff13615aaf7e3add37993a,56c2b78d83ed677e068f9808db66b013f4bcb8aa20494056893195c7079c1070,Tests_passed
13364,scribejava/scribejava,b62f73aa5c3a0b103c92d85719e7e15f7d17cf83,7d9a95bbd07075b6cbc07b07d3f784540f377aa75c23ed9be194172e4a72110c,Tests_passed
13397,seaswalker/spring-analysis,4379cce848af96997a9d7ef91d594aa129be8d71,5809552d55f6fe6fb387ac145ff2fcf7543526658eb2f0abcc244d1ef9d2fff0,Tests_passed
13653,shopizer-ecommerce/shopizer,054a3bde1ea8894d13b0a8fb4e28f9db17262224,752655a9c72e8cd62c1f287d8140f1ea354b68f6a24df890fd897c59d196ecfd,Tests_passed
13682,shzlw/poli,5b90d6adc6f839866cb77854ad33f3cd9e1e26e8,46af3d0c0968c33a40e1c472cf6327ad24023a69b41377e6fc148b774d634d21,Tests_passed
