,repository,language,architecture,community,continuous_integration,documentation,history,issues,license,size,unit_test,stars,scorebased_org,randomforest_org,scorebased_utl,randomforest_utl
896864,davidmoten/rxjava-jdbc,Java,0.912281,1,1,0.266314,40.538464,1.076923,1,6375,0.389132,273,1,1,1,1
903260,mdeverdelhan/ta4j,Java,0.984694,1,1,0.447201,17.916668,2.916667,1,7672,0.467483,91,1,1,1,1
905128,forge/roaster,Java,0.957672,2,1,0.168883,14.473684,1.105263,1,18672,0.329601,93,1,1,1,1
912472,larsga/Duke,Java,0.990783,3,1,0.153083,11.714286,19.285713,1,18659,0.358989,291,1,1,1,1
915815,jcabi/jcabi-http,Java,0.861111,2,1,0.452637,14.714286,5.5,1,5539,0.328707,60,1,1,1,1
916160,spring-projects/spring-data-examples,Java,0.928205,3,1,0.397092,13.428571,5.428571,1,7469,0.433928,385,1,1,1,1
916773,dropwizard/metrics,Java,1.0,18,1,0.170056,11.194444,8.027778,1,20351,0.436706,3783,1,1,1,1
920579,yammer/tenacity,Java,1.0,3,1,0.027778,18.857143,1.5,1,4533,0.468149,162,1,1,1,1
921531,JakeWharton/paraphrase,Java,0.823529,1,1,0.151709,21.0,5.0,1,1033,0.450342,227,1,1,1,1
921586,spotify/trickle,Java,0.974359,2,0,0.255728,11.454545,1.0,1,2714,0.528264,257,1,1,1,1
934597,HdrHistogram/HdrHistogram,Java,0.956522,2,0,0.318484,24.0,3.285714,1,13368,0.36733,929,1,1,1,1
950632,benas/easy-batch,Java,0.917526,1,0,0.325443,26.391304,1.478261,1,19810,0.294681,130,1,1,1,1
968180,polydawn/mdm,Java,0.985714,1,0,0.237638,20.058825,0.235294,1,6288,0.417495,52,1,1,1,1
970401,dbfit/dbfit,Java,0.934156,2,1,0.052606,84.800003,15.3,1,20308,0.269193,95,1,1,1,1
973057,smola/galimatias,Java,0.981132,1,1,0.256749,12.076923,4.153846,1,5371,0.40004,87,1,1,1,1
1017550,flaxsearch/luwak,Java,1.0,1,0,0.323235,15.0625,3.0625,1,6049,0.324516,153,1,1,1,1
1018875,kite-sdk/kite-examples,Java,0.807018,4,0,0.376498,12.6875,1.625,1,5443,0.263379,74,1,1,1,1
1019937,Netflix/suro,Java,0.992754,5,0,0.127116,19.387096,6.935484,1,27748,0.294367,476,1,1,1,1
1021028,atinfo/at.info-knowledge-base,Java,0.892473,2,0,0.10158,12.285714,2.285714,1,8981,0.393782,68,1,1,1,1
1022793,galenframework/galen,Java,0.990099,1,0,0.139989,29.238094,11.238095,1,46726,0.338219,608,1,1,1,1
1025571,zhang-xzhi/simplehbase,Java,0.971831,1,0,0.136869,12.866667,1.2,0,16989,0.334799,57,0,1,1,1
1029496,path/android-priority-jobqueue,Java,0.958763,2,0,0.143964,10.125,6.125,1,6902,0.381046,2083,1,1,1,1
1055791,asciidoctor/asciidoctorj,Java,0.969231,2,1,0.188258,16.15,9.6,1,7897,0.335241,160,1,1,1,1
1055972,square/mortar,Java,1.0,3,0,0.24141,19.0,8.25,1,4576,0.371788,1493,1,1,1,1
1064674,jcabi/jcabi-github,Java,0.967901,12,1,0.451182,133.4375,66.3125,1,30260,0.474576,84,1,1,1,1
1082006,yxjiang/algorithms,Java,0.974304,1,0,0.221087,20.333332,0.0,0,19050,0.257097,134,0,0,1,0
1084176,googleads/aw-reporting,Java,0.951456,5,0,0.174033,39.823528,7.058824,1,40988,0.264849,66,1,1,1,1
1095088,alibaba/multi-thread-context,Java,1.0,1,1,0.159139,21.5,2.642857,1,2512,0.330109,206,1,1,1,1
1116751,brettwooldridge/HikariCP,Java,1.0,1,1,0.213747,88.176468,16.0,1,9300,0.307739,2384,1,1,1,1
1125790,jhalterman/lyra,Java,0.982759,1,1,0.226954,11.5,2.875,1,4142,0.367079,142,1,1,1,1
1126003,jpush/jpush-api-java-client,Java,0.893617,1,1,0.088552,11.571429,0.142857,1,6593,0.41381,140,1,1,1,1
1130810,caelum/vraptor4,Java,0.955036,4,1,0.241515,169.590912,45.772728,1,36888,0.45313,256,1,1,1,1
1136690,mbosecke/pebble,Java,0.977654,1,1,0.235654,21.294119,3.411765,1,10223,0.344978,267,1,1,1,1
1140311,emilsjolander/sprinkles,Java,0.948052,3,1,0.114042,22.363636,7.818182,1,3740,0.335524,759,1,1,1,1
1149642,JavaMoney/jsr354-api,Java,0.940678,2,1,0.496173,20.523809,1.761905,1,6977,0.386068,113,1,1,1,1
1157881,spring-projects/Spring-Integration-in-Action,Java,0.807175,2,0,0.415467,33.333332,0.0,1,7594,0.369015,76,1,0,1,1
1159299,katjahahn/PortEx,Java,0.818966,1,1,0.388158,34.588234,0.176471,1,13514,0.255172,56,1,1,1,1
1161237,mp911de/logstash-gelf,Java,0.923729,1,1,0.125722,19.0,2.529412,1,8492,0.401106,54,1,1,1,1
1162674,impossibl/pgjdbc-ng,Java,0.996403,3,0,0.240425,17.411764,8.235294,1,42849,0.271733,213,1,1,1,1
1163612,sialcasa/mvvmFX,Java,0.930736,2,1,0.128641,25.5,10.111111,1,22713,0.361825,82,1,1,1,1
1163752,indeedeng/proctor,Java,0.93985,9,1,0.088511,13.411765,0.764706,1,13824,0.30338,131,1,1,1,1
1166358,arturmkrtchyan/iban4j,Java,0.863636,1,1,0.230023,12.25,1.1875,1,3069,0.305256,55,1,1,1,1
1166637,OpenHFT/Java-Thread-Affinity,Java,0.944444,4,0,0.341277,15.5,1.166667,1,2913,0.283168,179,1,1,1,1
1168411,siom79/japicmp,Java,0.775229,2,1,0.007844,13.388889,2.666667,1,24646,0.251574,78,1,1,1,1
1170958,torakiki/pdfsam,Java,0.986792,1,1,0.338891,11.25641,1.871795,1,26174,0.465107,154,1,1,1,1
1171947,import-io/importio-client-libs,Java,1.0,3,0,0.262041,16.25,2.333333,1,3241,0.407801,61,1,1,1,1
1172944,spring-projects/spring-integration-extensions,Java,0.795122,7,0,0.254814,11.833333,2.866667,1,17856,0.386664,121,1,1,1,1
1174042,jdereg/java-util,Java,1.0,1,0,0.173494,20.666668,1.111111,1,9569,0.563041,66,1,1,1,1
1174812,dropwizard/dropwizard,Java,0.984444,15,1,0.138159,66.448273,20.551723,1,32080,0.473823,4119,1,1,1,1
1175400,stephanenicolas/boundbox,Java,0.964602,1,1,0.109382,34.5,4.333333,1,6519,0.52659,210,1,1,1,1
1176749,usb4java/usb4java,Java,0.982143,2,0,0.465372,13.9375,0.583333,1,6855,0.52705,76,1,1,1,1
1178970,spring-guides/tut-rest,Java,0.935028,3,0,0.044619,100.0,7.0,1,5640,0.387009,77,1,1,1,1
1182662,jcabi/jcabi-aspects,Java,0.849315,4,1,0.453868,17.35,7.3,1,5702,0.36105,188,1,1,1,1
1186472,komoot/photon,Java,1.0,3,0,0.100688,33.222221,8.555556,0,5783,0.302583,322,1,1,1,1
1191151,google/compile-testing,Java,0.83871,2,1,0.215255,10.315789,3.526316,1,4163,0.364624,236,1,1,1,1
1202216,rackerlabs/blueflood,Java,0.990566,6,1,0.185987,91.0,20.666668,1,27413,0.298916,408,1,1,1,1
1206620,relayrides/pushy,Java,0.955556,1,1,0.342358,33.210526,8.368421,0,4658,0.387911,335,0,1,1,1
1218130,palantir/stashbot,Java,0.983607,2,0,0.152821,14.105263,0.631579,1,7568,0.385246,62,1,1,1,1
1219330,futuresimple/android-db-commons,Java,0.987179,2,1,0.022156,24.473684,3.842105,1,8420,0.473291,214,1,1,1,1
1226886,aerogear/aerogear-unifiedpush-server,Java,0.896296,5,1,0.190307,133.047623,21.428572,1,19714,0.403255,250,1,1,1,1
1231646,eclipse/vert.x,Java,0.936061,3,0,0.294809,44.323528,10.882353,1,48449,0.431151,4500,1,1,1,1
1231703,yegor256/xembly,Java,0.87037,1,1,0.486458,14.421053,3.052632,1,3018,0.473151,101,1,1,1,1
1232470,google/auto,Java,0.869565,3,1,0.219168,22.299999,9.85,1,14435,0.497748,2224,1,1,1,1
1239659,apache/commons-pool,Java,0.987342,3,0,0.363301,14.631579,0.052632,1,15177,0.550023,64,1,1,1,1
1245278,guokr/simbase,Java,0.980769,2,1,0.014874,37.636364,3.363636,1,8702,0.260133,181,1,1,1,1
1250266,graphaware/neo4j-framework,Java,0.983645,1,1,0.382378,37.900002,0.85,1,24324,0.509024,93,1,1,1,1
1254208,orfjackal/retrolambda,Java,0.983333,1,0,0.074785,18.700001,2.45,1,5835,0.389292,1912,1,1,1,1
1279592,bumptech/glide,Java,0.995294,1,1,0.167948,46.099998,18.700001,1,35856,0.500238,6826,1,1,1,1
1281420,Pardot/Rhombus,Java,0.981308,3,0,0.127651,25.0,3.733333,1,12937,0.492601,111,1,1,1,1
1281428,miguno/avro-hadoop-starter,Java,0.875,2,1,0.143939,12.0,0.2,1,1265,0.334661,81,1,1,1,1
1296810,Netflix/genie,Java,0.93007,3,0,0.247582,32.650002,5.35,1,45261,0.405499,423,1,1,1,1
1298902,NGDATA/hbase-indexer,Java,0.960159,5,0,0.294051,20.181818,2.727273,1,26376,0.28034,129,1,1,1,1
1299991,OpenHFT/HugeCollections,Java,0.978261,3,0,0.267609,45.35294,2.705882,1,21024,0.436286,280,1,1,1,1
1300021,davidmoten/geo,Java,0.904762,1,1,0.29159,16.6,0.9,1,2041,0.531563,129,1,1,1,1
1302254,newrelic-platform/newrelic_mysql_java_plugin,Java,1.0,2,0,0.164179,13.25,5.0,1,1722,0.387071,72,1,1,1,1
1312027,Netflix/zuul,Java,0.92,6,1,0.302892,11.428571,5.285714,1,10283,0.758994,749,1,1,1,1
1318030,groovy/GMavenPlus,Java,0.689076,1,0,0.15349,27.666668,2.047619,1,21219,0.526464,87,1,1,1,1
1318347,trautonen/coveralls-maven-plugin,Java,0.934783,1,1,0.320303,10.47619,3.238095,1,5563,0.464873,176,1,1,1,1
1320359,schildbach/public-transport-enabler,Java,0.983516,3,0,0.156155,18.34375,1.09375,1,25755,0.271316,79,1,1,1,1
1323714,yegor256/rultor,Java,0.855615,1,1,0.421289,100.523811,22.761906,1,13554,0.376328,176,1,1,1,1
1326864,mcxiaoke/android-volley,Java,0.987342,2,0,0.352501,56.409092,2.181818,1,5303,0.318022,3440,1,1,1,1
1330595,OpenHFT/Java-Lang,Java,0.959016,5,0,0.246448,50.714287,2.761905,1,24401,0.26281,214,1,1,1,1
1336733,camunda/camunda-bpm-examples,Java,0.917526,8,0,0.286218,17.090908,0.409091,1,20236,0.323983,63,1,1,1,1
1354026,ebay/cors-filter,Java,0.875,1,1,0.2435,52.5,3.0,1,2611,0.459736,96,1,1,1,1
1354666,square/picasso,Java,1.0,3,1,0.157221,61.880001,38.400002,1,10520,0.412693,8899,1,1,1,1
1360222,novoda/merlin,Java,0.982456,3,0,0.044682,11.363636,2.318182,1,2113,0.344148,229,1,1,1,1
1362006,dayatang/dddlib,Java,0.834448,1,0,0.223317,32.272728,0.227273,1,33242,0.396499,123,1,1,1,1
1364145,segmentio/analytics-android,Java,0.990291,1,1,0.18157,62.086956,10.130435,1,11690,0.504305,135,1,1,1,1
1366235,jamesdbloom/mockserver,Java,0.986034,1,1,0.122061,31.136364,4.636364,1,40285,0.655818,490,1,1,1,1
