idx,repository,language,architecture,community,continuous_integration,documentation,history,issues,license,size,unit_test,stars,scorebased_org,randomforest_org,scorebased_utl,randomforest_utl,head hash,head tree fingerprint,head test result
297,sxpujs/ueditor,Java,0.95,1,0,0.082028,0.0,0.0,1,1238,0.0,12,0,0,1,0,558a63263ded8477706fba387b6668e0fc149e95,a3b01c0edde57a822592027775fde71b9e32b5c2f2b8bd98ff81cabc33ab21af,Tests_passed
304,jkotlinski/lsdpatch,Java,1.0,1,0,0.263514,0.0,0.0,0,1532,0.0,9,0,0,0,0,ea242cfbeb0c2e39976399c34f37d232f676c6a5,267b8cc8ad19ade2210342ddad7ca26838c1cfc7e38b6b3a6145a2d7dcdcd926,Tests_passed
306,jkotlinski/lsdmanager,Java,1.0,1,0,0.108566,0.0,0.0,0,913,0.0,13,0,0,0,0,853a874da731591d11e6fa8b9b346d5fcc49e8ac,9743649727779d1f56fc24cd8da8ad99af8d19fbd7e792063f7b62ceb614a99a,Tests_passed
311,MALfunction84/psi-probe,Java,0.987342,2,1,0.1607,3.28169,0.43662,1,32245,0.03185,220,1,1,1,1,78b2b49725f9320b3beee9c50238d48e915ececd,5e79b4b42555e79ab54cd13f4560f25a7ea47f8f2bf62c1cb42799f8864f8ee5,Tests_passed
312,bijukunjummen/spring-web-observable,Java,0.571429,1,0,0.005747,0.0,0.0,0,173,0.110236,11,0,0,1,0,6ad82cadf19a378dfe62c05de0ca2c09255f192d,986ba75a35ff63890b89d63c360ade4b258a073b6a18cc787b662e7ae19c3435,Tests_passed
320,antlr/symtab,Java,1.0,1,0,0.18771,0.0,0.0,1,1004,0.0,9,0,0,1,0,d24e0a8d1abed327ef0dfb865226f6d5efb8f890,974c330ade19fb08c7b0125e9191c71a47fed4f1a4425be131a8deeec464af37,Tests_passed
324,apache/directory-kerby,Java,0.991525,1,0,0.318991,36.76923,0.0,1,36346,0.143065,15,1,0,1,1,0b3326566e36b0bf7440c55a97ecf6dfa51a3fba,c2657574ba1471b5e1e88abbe0e5ca4c6279f3b1bad0f6d36c91ef283ba2cfd8,Tests_passed
328,innovimax/quixdm,Java,0.9,0,0,0.263858,0.0,0.0,1,1660,0.0,6,0,0,1,0,35b67b510c71ff48bb9bfd235a6b601744ff88d6,143b4195d313299ac380085a0e2a6dda4f888e9151ef45689e25e0a7353656e2,Tests_passed
336,connorlinfoot/CratesPlus,Java,1.0,1,0,0.047977,0.0,0.0,1,1042,0.0,6,0,0,1,0,b928e4dd71307599d30e47d6767f701faa7bee92,9b22d6465b1d9b20efaf4a1571bfe8d7bcc8858f8e139a7ded5fafa9e9b61748,Tests_passed
337,kshchepanovskyi/zkcopy,Java,0.875,1,0,0.057007,0.0,0.0,0,410,0.0,13,0,0,0,0,7417f9390cdd8ff6ec60227d6980dca55a2d9cdf,f812b79fbb4dcfcef5e590a5f37eebe3bea106f50a1112f35a1befa30fe1a569,Tests_passed
