idx,branch_name,merge,left,right,notes,union_diff_files,num_intersecting_files,num_diff_lines,num_diff_hunks,diff contains java file,imports_involved,non_java_involved,num_diff_files,test merge,left parent test result,left_tree_fingerprint,parents pass,right parent test result,right_tree_fingerprint,sampled for testing
22,refs/heads/master,e5e74e0f404d62c68ab11e3086e93cde0a79799d,4e859ebab1b672da627a43c7e5e4f7c232f79d29,28553f97ae4ff05340e52db5e726af428a212d4d,,5,1,68,7,False,True,True,5,False,,,,,,False
26,refs/heads/master,9e6b309aa55adfa63760cbe6fe2d77b04b310d8a,525ca0b814e672952796ff7ce904a60f729aab83,6c63692453e54e9588063ecc57188824d22008d0,,6,1,1405,5,False,True,True,6,False,,,,,,False
30,refs/heads/master,0d615339977c95f2d17f8005c668b3f31b616a5d,205693afefdada1c4f733252e7d7533c32639039,20cbf1927659f2839366e713ba573d4e8bf9bea0,,4,0,334,3,False,True,True,4,False,,,,,,False
34,refs/heads/master,ce0c46f05a85d4f305c624961f8fad50e79d78c4,973df75b9884107c8b3b7bbc241e8efa48883274,18dae893ca2450ce2cd2a68521c6dba4240e9ace,,3,1,17,3,False,False,True,3,False,,,,,,False
40,refs/heads/master,1d550c178d023fc6e13d3bbdcf604a7fa36b5e68,40e2e096c3415c927a0cbdfa21426e5466d36a0c,3474fcd659dbdc5ea256dfcafdf129ed56f0b2c3,,3,0,40,2,False,False,True,3,False,,,,,,False
41,refs/heads/master,40e2e096c3415c927a0cbdfa21426e5466d36a0c,355aa73d89699744f589e01257d9932e7d6cfd38,9bffbac1f2e5fa35bdeeeb97ce57f3fef3f34a4b,,2,0,28,7,False,True,True,2,False,,,,,,False
42,refs/heads/master,9bffbac1f2e5fa35bdeeeb97ce57f3fef3f34a4b,7afbce60ef99c0d3e967e7c6cdf642a98ad7f80c,07caf78ce42cb0e5af878bc827808e1cd59ab80a,,7,1,270,14,False,True,True,7,False,,,,,,False
45,refs/heads/master,de9b0b6c4d82b6d6e006dadbd35d9b559b26d8f9,9661fb48caa16231a4b4b8171f3802b9f34debf7,e3ad3d40dd7573d04db7fb5cf6419e3b68df9776,,5,0,238,5,False,True,True,5,False,,,,,,False
50,refs/heads/master,96e0bf0d392e4d0b97366d760045cc33362f45ef,ac5f6c5b80411ee97e17cb305ebc34179242a921,562c16465534050262f35c56e37bcc9275812122,,2,0,4,2,False,False,True,2,False,,,,,,False
52,refs/heads/master,619c2d0b61e4aa271632c8b4250bda3929e266e2,27ad84de4be72e8242caa020c2a54c4b69393fd6,413d4a08c2eaffb60c6024afc8a3477c7af4e110,,3,0,49,1,False,False,True,3,False,,,,,,False
