idx,branch_name,merge,left,right,notes,diff_size,diff_contains_java_file,left_tree_fingerprint,left parent test result,left parent test coverage,parents pass,right_tree_fingerprint,right parent test result,right parent test coverage,test merge,sampled for testing
45,refs/heads/master,7b83a91b9bf66c64582354f054244ac2106d85ae,2dcccec48f207e86cc59e8e6f0bec91d227aaad5,294c725f89aba81fc64cbd02c1d75484acb813ff,,188,True,c4069446a578df1ba5a8368c53f2e7529677a510805d9ae802a50bc6f2488140,Tests_passed,0.0,True,0c6c4a7ac1ec30f4d41f02375539d0f52f5d44c58e2cbaedb86b057a40e72bab,Tests_passed,0.0,True,True
46,refs/heads/master,2dcccec48f207e86cc59e8e6f0bec91d227aaad5,66eeb6c8e22224e339c32e3dc31143ad7c1fcd85,188041973d8687da962626a32b81d1bfc6f13e2b,,436,True,bb098660085aa6354e77807d7dbca56828f5d314f07f6a5dde579b63c4e26745,Tests_passed,0.0,False,4d5e6ccf980c63c7c269132e3f375a609891633d449c2f4c2c852c36eb419fb4,Tests_failed,0.0,False,False
47,refs/heads/master,66eeb6c8e22224e339c32e3dc31143ad7c1fcd85,d405ac46cc310e18863f2a331ac530004898ef6d,b2dc5f5f47ec3ffaab1227046155f73494ca3df6,,149,True,a3ea7bca8489da00c6601341dc3096739de8c4dc7b87f5e995d4851322274b5a,Tests_passed,0.0,True,096b937ed5bd08da32110650020d4fecbae543b28afceeda7db4987b0c342d0c,Tests_passed,0.0,True,True
48,refs/heads/master,d405ac46cc310e18863f2a331ac530004898ef6d,9b04dba4ffbfe4b4131c6e1864ca41c26050024d,597eaaf604ddc5ea3d9c71d07d8c900f6ae5dfc4,,400,True,bac913bbfe990adc81e9664bea14d2dc3d9d1e9348a868157fcb3d14ae29e0c7,Tests_timedout,0.0,False,ae31b8f9264295198a2d4b135b5cb0c6f0b93da0c84a038ccc7b8b15634683bb,Tests_timedout,0.0,False,False
49,refs/heads/master,a08d54c9ca24e997b043ae23d1a8a199680d86f2,e6da55280fbbe9fbdf7eb905138cd504871499b2,6eda40e83b85e7f9ef21681a5e70b2e1a50b286a,,13,False,6dad53dd2ca558006527e542c0f172a00f1cfb6827f33a265fcad085f24b9a89,Tests_passed,0.0,True,77b9fb5319a08503bd4fee1d76c0dbdadb3a1bd25ea6dfb2286ffdeceb80158a,Tests_passed,0.0,False,False
51,refs/heads/master,e7dda56c8365d0abc12011745d136618fad00bb7,10f405f4d2377f16854a44fe97a483e5c24d89fe,d1bd7c5e8223150acf7316e1464c4fb5bf6f94dc,,405,False,,,,,,,,False,False
52,refs/heads/master,c29949c5519107f7fe2088477aae1c88b915917f,ecb0273c169572fd4a983fda4c20b9d0d069cad8,2acfb152597ce0f5fff921ccc48b93d4672f2528,,1163,True,71ecfb30fe0caf8905643703e00ec069f1e3d5a469e0314aee6c1b8b5ce9d7e7,Tests_failed,0.0,False,d2ab624776802c9a2129179a5569d77f7cfd7764711777fc01075b32a9c4f34c,Tests_failed,0.0,False,False
53,refs/heads/master,242d11c1742bd17b0b2eb43257b77bad1cfbd4e7,dbf88220c6ab8dd76d2d0faa48968f7cf8cdb032,48c359c0d52f658fe00d9d9739dbee60c2c05a70,,6,False,,,,,,,,False,False
54,refs/heads/master,dbf88220c6ab8dd76d2d0faa48968f7cf8cdb032,fb1fecea13743442c5393f473aff52e0412152ac,dcbad18d701c077b89fcf228acfa332e8ace0f4f,,5,False,,,,,,,,False,False
55,refs/heads/master,fb1fecea13743442c5393f473aff52e0412152ac,a4c121836ddfbee1392a96cad5a6021bb032e75e,cbc9ab1a0acb230fbe97540866ab49cac7db9b71,,5,False,,,,,,,,False,False
56,refs/heads/master,a4c121836ddfbee1392a96cad5a6021bb032e75e,c2ea0cde00e4d9bf6f6e0d8649e9a6dfe1548aec,7cd4a228af590b8be942df6c61db4834e3b360c9,,4,False,f27dc84ee45871ec27a58630bdcafbb086e7551f70d4e5a3873a2f3b1bd15e8c,Tests_failed,0.0,False,5f5aae926e1b3ccf6a38538bb0a4be9ac858730cc1abf745110b4f0e70b7068b,Tests_failed,0.0,False,False
57,refs/heads/master,c2ea0cde00e4d9bf6f6e0d8649e9a6dfe1548aec,5bf54f015dd3509f47a48afc81255d106da46d92,8b9aaec682fcbfa4e49550e5be4c60b9ccd8819b,,243,True,3293e87fa2febb5f21bc8b92e9f6544fc8fe26bb84b68ab9912713f86f06094f,Tests_failed,0.0,False,4bf5ea15cb1dc7c2e0a30e721733e0b1dc752718046f38b18cf6d75f7c1b7315,Tests_failed,0.0,False,False
59,refs/heads/master,cb4690d016095d658b6e7c361b4212488148dfb8,4788099601de5b688dad982792c437df18895bd5,fc6565a671354391de23045f64719c4ee0a280bf,,1725,True,25d1cfce4608596d18541c23c13b0d19c8b82509d0a0b4664094c25cf9129fdc,Tests_failed,0.0,False,a0e352e2d7f4a79e3c5736c9a853a11520ad7e44da57a96d35db8170fe1c8f32,Tests_failed,0.0,False,False
60,refs/heads/master,4788099601de5b688dad982792c437df18895bd5,5bad09f229d8c2475d3a5f11eb40e4ecfa1d81c0,aaae7b2b7476f43b506a0af09504b75d09e60e11,,189,True,af6834eac96ad17456cc10efc565665454325ea6bc95c34f8123bbe1a9699f43,Tests_failed,0.0,False,f656782c2e715b527b7cfeee237a1d1f0e3d305ea0ca35265815ee8ac28377f1,Tests_failed,0.0,False,False
61,refs/heads/master,bfb848e2d36161c4f14676c8e583abc2d9c2bb79,cca17b4615ed45e8cb2c54cdaeb21523210d6580,94cfc16d26619f6bae35bcf57b426abc54be6f8f,,229,True,99e7aa8554ee457281f6cafa39f3af4d4607bf7748d263a39bb69deefb73974a,Tests_failed,0.0,False,18e2340c470b3d13f25c5d61fb05dcee83301ee791f723cc6a8ae91f640d6411,Tests_failed,0.0,False,False
62,refs/heads/master,cca17b4615ed45e8cb2c54cdaeb21523210d6580,3d380e3f0cd87857dce0c6d44baeb2339d0ed9d1,721ce2d9d011f059ee9ea524a1531a59720128bb,,25,True,66299e7e7f1785c18deaf6f423e807f71c45abd642239e89413310f650e2a199,Tests_failed,0.0,False,4260363ab287b9f7d3ff87141864e1f2dcd9929b65accb81c61e9635b267baef,Tests_failed,0.0,False,False
