idx,repository,language,architecture,community,continuous_integration,documentation,history,issues,license,size,unit_test,stars,scorebased_org,randomforest_org,scorebased_utl,randomforest_utl,head hash
127,vince-styling/aSQLitePlus-android,Java,0.954545,1,0,0.464851,23.0,0.0,1,2517,0.607359,42,1,0,1,1,2fc7a4e7f9d5df22ad5e087b54132cb1aacc4bb4
129,mslosarz/nextrtc-signaling-server,Java,0.962264,1,0,0.05427,8.5,0.0,1,2126,0.459433,11,1,0,1,1,b4ec155bc967668fd7f4321eeec73b8eca67484b
132,awslabs/amazon-sqs-java-messaging-lib,Java,1.0,2,0,0.366742,0.0,0.0,1,8717,0.575209,29,1,0,1,0,4cb91355cb92d9361a2179233c9db89383b1299e
133,digitalfondue/lavagna,Java,0.988679,2,1,0.127511,31.666668,1.333333,1,45899,0.324521,243,1,1,1,1,b76487305e5191bc32b0422244d7b648ffcb8530
136,moznion/java-mysql-diff,Java,1.0,1,1,0.117241,25.333332,1.0,0,1614,0.476117,14,0,1,1,1,41bcfe31994e6c494b568c74e23b6a0d68dca5b8
137,lejon/T-SNE-Java,Java,1.0,1,0,0.130178,30.333332,1.0,1,3306,0.310391,24,1,1,1,1,5e334b01c0c779b3e90a40dfddea12f2b704e910
141,release-engineering/pom-manipulation-ext,Java,0.228972,2,0,0.125054,10.0,5.333333,1,10982,0.289616,11,1,1,1,1,4befd5e8943bd06d3efba1e41662335f70ade88b
143,vert-x3/vertx-reactive-streams,Java,0.923077,2,0,0.222752,11.375,0.25,1,1141,0.486637,13,1,1,1,1,ffcd74ddbd97b9a6d0ca69fad5d5a01db6bcfda1
147,bedatadriven/jackson-datatype-jts,Java,1.0,2,0,0.0,0.8,0.1,1,510,0.320574,16,0,0,1,1,df56dc9b3de8620024879bb979a2da3ec48c07b7
148,happyfish100/fastdfs-client-java,Java,0.9375,1,0,0.250527,0.0,0.0,0,6403,0.260207,37,0,0,1,0,45d9a89e2583297a47870a47694184dffb265dc7
152,tasermonkey/thumbnailator,Java,0.886957,1,0,0.24342,3.225806,0.0,1,54045,0.774913,13,1,0,1,1,019c8b03a4b0c59d979eb6a5762c85eb3612a589
158,snazy/ohc,Java,0.983051,1,0,0.112112,132.0,4.0,1,20035,0.437117,69,1,1,1,1,7f59c264fe8ae4c859b9662c8cea15620f0f55f8
160,vert-x3/vertx-metrics,Java,0.962963,2,0,0.28614,15.25,0.125,1,2636,0.375643,13,1,1,1,1,d0b9bdc7b8d3b45bae376ea06f35e4a741166212
167,englishtown/vertx-cassandra,Java,0.97619,1,1,0.196382,8.846154,0.538462,0,2863,0.396403,14,0,1,1,1,44e34c871e829bbc996932301c00285bea4bde5f
168,jparsec/jparsec,Java,0.988636,1,1,0.150278,0.0,0.0,1,61279,0.490458,100,0,0,1,1,747e9913b1cf03da04b302708a4cf3022bfc1728
169,xmlunit/xmlunit,Java,0.94,1,1,0.330896,5.641509,0.433962,1,22342,0.581112,49,1,1,1,1,cd6731e34ab7f6dbe0c7cf6b22c85af16ac3ff8e
170,ncjones/editorconfig-eclipse,Java,0.958333,1,0,0.246763,7.75,0.0,1,1108,0.366972,53,1,0,1,1,45787ee159cf011e7924875db299ba68e70eab24
172,pkainulainen/java-advent-2014,Java,0.954545,1,0,0.119094,0.0,0.0,0,1365,0.531915,22,0,0,1,0,7c155d209e40866436500797491769010a183573
173,kaazing/k3po,Java,0.181818,2,0,0.16263,50.0,11.0,1,1221,0.803865,20,1,1,1,1,f3f215fea11e9b2bccd519c1d70fe705992bc305
175,digidotcom/XBeeJavaLibrary,Java,0.99537,3,0,0.466453,58.5,3.0,1,26802,0.670173,28,1,1,1,1,8bc427d23ec00548397660fe5b696c55a6346490
180,tbroyer/bullet,Java,1.0,1,1,0.083246,5.0,0.0,1,902,0.707665,62,1,0,1,1,e5044b53dfb278ac07bf56585ae27b69ae1bd948
183,google/acai,Java,0.722222,1,1,0.288126,17.0,1.666667,1,1539,0.600592,26,1,1,1,1,d129cbf669c56f3d98637e662f67c555ea2a5eda
184,AdRoll/cantor,Java,0.8,1,0,0.197609,0.0,0.0,1,4622,0.386364,50,0,0,1,1,76b4e1b4fcca28e57e3a23cb6ea61fb428275442
185,Syncleus/Ferma,Java,0.976744,1,0,0.360701,40.666668,0.0,1,8225,0.270641,25,1,0,1,1,9a45e2d696100424711956d8fba368925d8c359e
186,jitsi/jicofo,Java,0.991935,3,0,0.279502,28.5,3.25,1,15016,0.343929,18,1,1,1,1,839b2126cddbc3a35e591aa942e61bc0149a2b09
188,acciente/oacc-core,Java,0.993243,1,0,0.144857,43.0,3.25,1,37730,0.684813,56,1,1,1,1,1c47f8b55eeba8d5953ad269093824de18f05a47
190,abel533/Mapper,Java,0.978947,1,0,0.293539,47.333332,0.333333,1,9118,0.393514,132,1,1,1,1,5e31029b2df157afe9031fe183f6d7795ac2aa19
191,spring-projects/spring-data-keyvalue,Java,1.0,2,0,0.411191,10.5,2.0,1,3914,0.50107,13,1,1,1,1,ee43ad3b43ee470a617c568522edf07f606b1516
197,tech-advantage/sonar-gerrit-plugin,Java,0.913043,2,1,0.075699,5.285714,0.714286,1,1697,0.310611,14,1,1,1,1,469d66dc8aa3e716c0cf549733184fefe8bd7f38
198,jodastephen/property-alliance,Java,0.793103,2,0,0.408963,55.0,13.0,1,5221,0.37591,16,1,1,1,1,81831e34dc7031e77882288313526bede4e5eb72
199,englishtown/vertx-jersey,Java,0.970874,1,1,0.314457,9.545455,0.454545,1,4727,0.39712,89,1,1,1,1,733482a8a5afb1fb257c682b3767655e56f7a0fe
201,cecom/pomutils,Java,0.965517,2,0,0.241656,46.0,3.0,1,1960,0.347021,14,1,1,1,1,cf55a74fc66cce1066535fff171c8996fc161b47
207,prometheus/jmx_exporter,Java,0.909091,3,0,0.053599,3.25,0.8125,1,1323,0.32175,35,1,1,1,1,89275ac5fed732b943c248867db578b6f12bb756
209,englishtown/vertx-guice,Java,1.0,1,1,0.421182,1.444444,0.055556,1,501,0.435323,11,0,0,1,1,3833b813625c6eb21efb7cc6c1ee418bbf45cdb1
211,meltmedia/dropwizard-crypto,Java,1.0,1,1,0.163468,9.0,0.75,1,1376,0.385274,11,1,1,1,1,dac0d58714a7cfe8cde9a049c5a7b66c23b4b73f
212,tracee/tracee,Java,1.0,3,1,0.050579,41.200001,12.8,1,10445,0.582966,22,1,1,1,1,15a68e435248f57757beb8ceac6db5b7f6035bb3
217,spotify/crunch-lib,Java,1.0,2,1,0.269654,19.0,4.0,1,960,0.407407,26,1,1,1,1,754b08323515f2ae0b9153c49e2a7f59668105b1
219,petitparser/java-petitparser,Java,0.950617,1,0,0.141845,47.0,1.0,1,6576,0.484676,35,1,1,1,1,8d8c8c40198abd847564ad97d2694fc650e1edf1
225,pedrovgs/Algorithms,Java,0.932927,1,1,0.390942,89.0,0.75,1,6616,0.556371,1377,1,1,1,1,b04396ba1a8bf094494f9ba514ecbe806fdb9776
226,real-logic/Agrona,Java,0.9625,3,0,0.287855,18.25,1.0,1,8456,0.372962,333,1,1,1,1,6668987784b55eebc0f5622841dcdb8637c51ca6
229,spring-cloud-samples/sso,Java,1.0,1,0,0.005115,6.5,1.25,0,398,0.373333,29,0,0,1,1,04ce8af67264f3d478fa7de7e212b1b2f654a4cc
230,spring-cloud-samples/authserver,Java,0.5,1,0,0.008475,4.0,0.25,0,414,0.441718,30,0,0,1,1,2ec02d06f2fd2082d824183af01e5d4c6cc3bb9b
247,PayPal/PayPal-Java-SDK,Java,0.986395,4,1,0.319865,10.708333,2.541667,1,28760,0.304418,164,1,1,1,1,2a34212256626707c89d9c0d9ac7bcdb5935fa5e
250,awslabs/aws-dynamodb-encryption-java,Java,0.93617,1,1,0.2276,17.5,1.0,1,5152,0.476451,36,1,1,1,1,0dc48985a4875fcd6627715bfeb76dd871d505c8
251,yandex-qatools/hamcrest-pojo-matcher-generator,Java,0.807692,1,1,0.154362,6.25,0.25,1,1084,0.447122,11,1,1,1,1,6794227006d2bf572c1e68300c7bc3dc6c3d4998
253,Jimmy-Shi/bean-query,Java,1.0,1,0,0.097696,24.5,2.5,1,3476,0.531509,29,1,1,1,1,31d4ffd6518c1b04247fc1cfac3f6dad903f2d20
254,vert-x3/service-proxy,Java,0.8,2,0,0.124364,20.0,2.0,1,1337,0.460289,22,1,1,1,1,2ab9f4e73585163812718d12c13ef483a5f1c98f
256,spring-guides/tut-bookmarks,Java,0.909091,2,0,0.035971,5.6,1.4,1,938,0.327676,70,1,1,1,1,50cf9c74bfc244b23f707ab16af8b4ef31136b3c
259,spring-guides/draft-tut-bookmarks,Java,1.0,2,0,0.016429,5.2,0.0,1,898,0.298898,70,1,0,1,1,50cf9c74bfc244b23f707ab16af8b4ef31136b3c
261,schema-repo/schema-repo,Java,1.0,2,0,0.336067,27.333332,14.0,1,5466,0.252534,85,1,1,1,1,70c8e793cf0e5ca0fb5ccaff43ba0e0593ace84d
262,vert-x3/proxy-gen,Java,0.8,1,0,0.112727,0.0,0.0,1,819,0.534591,22,0,0,1,0,2ab9f4e73585163812718d12c13ef483a5f1c98f
263,jooby-project/jooby,Java,0.975186,1,1,0.243724,28.333332,6.444444,1,41162,0.641514,164,1,1,1,1,5f108fd09d054257106e8f357c477d961561f8c1
264,ESAPI/esapi-java-legacy,Java,0.981685,6,0,0.416704,12.843373,4.518072,1,29625,0.339801,65,1,1,1,1,707fb494a722d3d4cba48b1e38fd39243f8a0b7c
265,rhuss/shootout-docker-maven,Java,0.5,1,0,0.281005,2.75,0.0,0,532,0.402597,30,0,0,1,0,c22bed6bdee0c9c55db53acf1b443834d88fe7c9
267,yandex-qatools/annotation-processors,Java,0.807692,1,1,0.155274,0.0,0.0,1,1077,0.447122,11,0,0,1,1,6794227006d2bf572c1e68300c7bc3dc6c3d4998
268,datumbox/datumbox-framework,Java,0.980469,1,0,0.334894,0.0,0.0,1,23343,0.301373,639,0,0,1,0,740af95dd90f4f5408c371408543859401fcea1a
270,unruly/junit-rules,Java,1.0,2,1,0.0,4.0,0.0,1,365,0.47482,11,1,0,1,1,865771a7162d60d173b9f039ae7e5674d4954cac
273,danielnorberg/auto-matter,Java,0.84127,1,1,0.012182,34.400002,3.2,1,4719,0.252157,20,1,1,1,1,aac2d7b183d930634db6a688b08d2ec2c4b77d64
275,uaihebert/uaicriteria,Java,0.981043,2,1,0.155176,0.0,0.0,1,28299,0.732383,15,1,0,1,1,e2d42b7fd9eebbcf3eea85f3980416ce546aac4f
277,Yubico/java-u2flib-server,Java,0.985507,2,1,0.132839,31.833332,2.0,1,3699,0.25041,46,1,1,1,1,df59a357d079603f13377004def79898f894a73b
284,lemmingapex/Trilateration,Java,1.0,1,0,0.104987,1.8,0.0,1,346,0.671554,37,0,0,1,0,fdd7b34d7ed96e8eb1ddb3da75a87a3668b2cd9d
285,graphaware/neo4j-reco,Java,0.984127,1,1,0.453358,16.4,0.6,1,3295,0.287273,103,1,1,1,1,16b24ee6bf8e9f95f41ea6c335855481086a1761
288,cognitect-labs/transducers-java,Java,1.0,2,0,0.335771,0.0,0.0,1,1102,0.482252,88,1,0,1,0,1b5faf6303b97db6dcc34fcf657d0ec55a674e32
290,khoubyari/spring-boot-rest-example,Java,0.928571,2,0,0.109626,0.0,0.0,1,790,0.254302,47,1,0,1,0,c10defe2d3f44327495ffde0b1ab05470a8f1453
294,Accla/d4m_api_java,Java,0.960526,2,1,0.212413,16.6,0.2,1,8187,0.32366,11,1,1,1,1,28199c7a7b0d23e1858efb927b0ed25ea66098d6
295,wilkinsona/spring-boot-resteasy,Java,0.333333,1,0,0.193798,2.5,0.5,1,356,0.503185,12,1,1,1,1,74982d2c04540f3e6e2f4a985ad58fa1382be703
297,andsel/moquette,Java,1.0,2,1,0.295054,13.973684,0.710526,1,9866,0.412129,278,1,1,1,1,8ab1c91061f3350ab1143a2eb91fdbda2b18c8a5
298,dpaukov/combinatoricslib,Java,0.960784,1,0,0.339964,2.298246,0.157895,1,5843,0.547948,22,1,1,1,1,22e3e1cd127221d6f55a365f58ca82dd168cfc9b
301,making/spring-boot-blank,Java,0.4,1,1,0.007812,15.0,0.0,1,348,0.394231,21,1,0,1,1,f70b3fee54d2f5b457786f680543da1d297979df
302,cloud-software-foundation/c5-replicator,Java,0.971014,3,1,0.250059,25.875,0.333333,1,12860,0.387319,20,1,1,1,1,d88c90bd9e38d769415aee60b518056445455db7
304,buptdavid/datastructure,Java,0.875,1,0,0.267419,5.333333,0.0,0,2288,0.270667,24,0,0,1,0,b78cc862c0e4a99852ad073ccb765ba25d4520a7
311,WASdev/standards.jsr352.jbatch,Java,0.950207,2,0,0.321164,7.0,1.44,1,34230,0.509756,13,1,1,1,1,2bbabbb7da4f6fceb83ae24deaf59c4307a14322
317,btrplace/scheduler,Java,0.951562,2,1,0.371222,41.07143,0.892857,1,41022,0.406055,25,1,1,1,1,e6b7a28ad55750147ef68802673f83d90cbf61f1
322,NirmataOSS/workflow,Java,0.980769,1,0,0.202527,26.0,1.0,1,4635,0.29572,25,1,1,1,1,b92f8b36dd000682e217a77f12b6be16a0558f23
323,feroult/yawp,Java,0.957265,1,1,0.015473,63.0,0.0,1,8631,0.315349,34,1,0,1,1,a415710efce1aa25ad3bade754b8b57ed398f36e
328,ReactiveX/RxJavaMath,Java,0.909091,4,1,0.242116,2.5,0.3,1,1567,0.661538,26,1,1,1,1,71cf8d1d08b7c9b1430a7f0c1b2fd0bff1bdce30
330,OhmData/c5-replicator,Java,0.971014,3,1,0.245427,29.842106,0.157895,1,13192,0.387265,20,1,1,1,1,d88c90bd9e38d769415aee60b518056445455db7
332,spring-cloud-samples/eureka,Java,0.666667,2,1,0.036036,7.75,1.25,0,223,0.717391,45,1,1,1,1,c0961fc238e3c0ac835073ba8106e82086c03f09
333,square/burst,Java,0.88,3,1,0.138175,20.0,5.833333,1,1487,0.276515,328,1,1,1,1,e6af132e6b9badab699999cfd1764f11636ca00a
336,springer-opensource/omelet,Java,0.793103,2,1,0.302257,26.833332,3.333333,1,5736,0.360617,21,1,1,1,1,97d39975bb35205244ffd1918219221cf5dce84d
337,matiwinnetou/spring-soy-view,Java,0.989583,2,0,0.177592,14.684211,0.052632,1,5159,0.36031,13,1,1,1,1,a27c1b2bc76b074a2753ddd7b0c7f685c883d1d1
340,dschulten/hydra-java,Java,0.94,1,1,0.221004,27.5,2.5,1,7201,0.260665,49,1,1,1,1,21f2ec64ed8f8294dcd7705a55477a4f85ed9d0a
341,ReactiveX/RxJavaComputationExpressions,Java,0.714286,3,1,0.264648,2.333333,0.166667,1,830,0.634103,25,1,1,1,1,f9d04ab762223b36fad47402ac36ce7969320d69
342,ReactiveX/RxSwing,Java,0.9,5,1,0.217866,2.681818,0.681818,1,1653,0.520924,25,1,1,1,1,281ddb9500bea4ce8b44fccde907963712647ab4
343,ReactiveX/RxJavaJoins,Java,0.95122,3,1,0.253413,2.454545,0.545455,1,3472,0.373633,17,1,1,1,1,65b5c7fa03bd375c9e1f7906d7143068fde9b714
344,service-enabled/dropwizard-request-tracker,Java,1.0,3,1,0.022838,9.0,4.333333,1,650,0.472678,17,1,1,1,1,a7b35d407f27b72b28540ac10f245cb16f9ac4e0
345,OpenHFT/Chronicle-Queue,Java,0.967742,4,0,0.20676,61.666668,3.0,1,19736,0.423098,582,1,1,1,1,733fe888453b644f10f6de69779e33d94dea9d7c
347,stickfigure/objectify-insight,Java,0.934783,1,1,0.125866,9.666667,0.666667,0,2614,0.405368,15,0,1,1,1,fbe6952520ee37cddb5b9ea0ecfc5679f24f0101
352,AzureAD/azure-activedirectory-library-for-java,Java,0.95,1,0,0.265377,3.1,1.3,1,5897,0.262869,22,1,1,1,1,8ba9e9e703d134eed87f3972c3b04f94f271ab85
354,spotify/crtauth-java,Java,0.883721,2,1,0.336333,26.0,14.5,1,2161,0.418216,13,1,1,1,1,90f3b40323848740c915b195ad1b547fbeb41700
355,libgdx/gdx-ai,Java,0.991935,1,0,0.320297,31.666668,5.833333,1,17226,0.584313,275,1,1,1,1,5c14a88fe3115bfaff8bd461fa7923ea0f64f003
356,zafarkhaja/jsemver,Java,0.9375,1,1,0.47915,3.793103,0.275862,1,3545,0.548559,111,1,1,1,1,ce78cf59e32b5e5d4a3dd7e6e211d53bbc63ae7e
357,ReactiveX/RxJavaString,Java,0.6,5,1,0.255422,3.5,0.928571,1,1004,0.449118,59,1,1,1,1,3e73b759ff7bffd5d2e1c753630c5408cb5f9e5e
358,andrewgaul/modernizer-maven-plugin,Java,0.857143,1,1,0.06481,14.833333,4.166667,1,1807,0.482517,108,1,1,1,1,d4de67671c546d2ca30a170e41956f6940404b6d
360,davidmoten/rtree,Java,1.0,1,1,0.151998,115.666664,3.666667,1,4705,0.466422,297,1,1,1,1,f57b1a72121244edb8e60acc00345249bf3100d5
363,ReactiveX/RxJavaReactiveStreams,Java,0.866667,2,1,0.248366,17.25,4.0,1,1051,0.475995,93,1,1,1,1,1c6a64de2c9f5c8bd6c798bd1f53513d214aea30
364,colinmarc/zerowing,Java,1.0,1,0,0.005904,8.0,0.0,1,1406,0.285246,22,1,0,1,1,568d238d38c328e9a7eff82b78b1956d53df1665
370,thoqbk/traprange,Java,0.954545,1,0,0.263475,0.0,0.0,1,1956,0.265097,20,0,0,1,1,4ae9347e61a2fb87808bbe73ffa3202718d43635
371,astefanutti/camel-cdi,Java,0.947368,2,1,0.281427,38.57143,1.142857,1,7131,0.482601,21,1,1,1,1,686c7f5fe3a706f47378e0c49c323040795ddff8
372,codelibs/elasticsearch-dynarank,Java,1.0,1,0,0.010101,11.0,1.666667,1,1937,0.44306,13,1,1,1,1,768a16a259f9f1e2f831456e209383ec1752737f
375,mcupak/beacon-of-beacons,Java,0.937063,1,0,0.203252,22.428572,10.285714,1,20272,0.423002,14,1,1,1,1,b9398c4e4188d0608c91e62ef56f54a2d50c7c2f
378,jcabi/jcabi-ssh,Java,0.8,2,1,0.44582,6.142857,2.428571,1,929,0.299838,77,1,1,1,1,1f13832f886133c96d7d619971c3620a4f118ebd
380,google/error-prone,Java,0.905941,6,1,0.294809,31.5,8.52381,1,40213,0.301651,834,1,1,1,1,90baca03d1c2193d0c31d2877bedbe7b2d7f5360
384,CalebFenton/simplify,Java,0.940397,1,1,0.035764,27.642857,2.428571,1,14798,0.371816,345,1,1,1,1,29fb25d624aecf0b075dea5c6029b2541474ddfe
385,tabulapdf/tabula-java,Java,0.972973,1,1,0.054412,6.3,1.1,1,6114,0.424874,47,1,1,1,1,8bfa3ad23af34f757f72fe46584a34abfc022ed3
387,ZsoltSafrany/needle,Java,1.0,1,0,0.16899,0.0,0.0,1,524,0.352201,15,0,0,1,0,4c33cbd84a76aa95cca116d64b1c809d43d6d59c
388,poetix/protonpack,Java,1.0,2,1,0.245224,11.333333,2.5,1,1777,0.288741,166,1,1,1,1,74c1fa43a384213bc82cf7346716f8ea0e254bb1
389,ReactiveX/RxJavaSwing,Java,1.0,2,0,0.267938,1.6,0.133333,1,832,0.399504,25,1,0,1,1,281ddb9500bea4ce8b44fccde907963712647ab4
392,ReactiveX/RxJava,Java,0.987805,7,1,0.286461,105.583336,20.0,1,56771,0.608368,11241,1,1,1,1,4c59fa66e1bd2c2be54f956ac6da31b2f4613db1
393,caelum/vraptor-panettone,Java,0.985294,2,1,0.015799,25.285713,8.428571,0,3364,0.420158,16,1,1,1,1,9f1e8162b3bcca7720acf82461d26b5de7587fc5
394,nitram509/jmacaroons,Java,1.0,1,1,0.263791,27.4,0.8,1,3132,0.263757,27,1,1,1,1,b91c112e66da4b6907929203ae0111ee68ffab0a
397,yfpeng/pengyifan-leetcode,Java,0.51773,3,0,0.190813,98.0,0.0,0,4696,0.296798,12,1,0,1,0,aa0b1062c3e22ce50f6a97edb906338d86e4e9ae
401,square/pagerduty-incidents,Java,0.947368,1,1,0.318624,7.5,1.25,1,1000,0.462445,40,1,1,1,1,c95398ffcb246082bfccddf36fcb97c877a17204
404,indexiatech/antiquity,Java,0.98,1,1,0.440436,10.473684,0.052632,1,4395,0.286575,26,1,1,1,1,4f5cec3256fe78296ea4637bdc89c27a392e07d5
