,gitmerge_ort,gitmerge_ort_ignorespace,gitmerge_recursive_histogram,gitmerge_recursive_myers_ignorespace,gitmerge_recursive_minimal,gitmerge_recursive_myers,gitmerge_recursive_patience,gitmerge_resolve,git_hires_merge,spork,mergiraf,intellimerge,adjacent,imports,version_numbers,ivn,ivn_ignorespace,gitmerge_ort_plus,gitmerge_ort_ignorespace_plus,gitmerge_recursive_histogram_plus,gitmerge_recursive_myers_ignorespace_plus,gitmerge_recursive_minimal_plus,gitmerge_recursive_myers_plus,gitmerge_recursive_patience_plus,gitmerge_resolve_plus,git_hires_merge_plus,spork_plus,mergiraf_plus,intellimerge_plus,adjacent_plus,imports_plus,version_numbers_plus,ivn_plus,ivn_ignorespace_plus
gitmerge_recursive_myers_plus,1,2,1,2,0,0,1,4,0,8,2,12,1,1,1,1,2,1,2,1,2,0,-,1,4,0,5,1,17,1,1,1,1,2
gitmerge_recursive_patience_plus,0,1,0,3,1,1,0,5,1,7,2,12,0,0,0,0,1,0,1,0,2,0,0,-,4,0,4,1,17,0,0,0,0,1
gitmerge_resolve_plus,2,3,2,3,1,1,2,0,1,9,3,12,2,2,2,2,3,2,3,2,3,1,1,2,-,1,6,2,17,2,2,2,2,3
git_hires_merge_plus,68,61,68,61,67,67,68,71,0,37,32,32,42,68,67,65,58,65,58,65,58,64,64,65,69,-,30,29,36,65,65,65,65,58
spork_plus,293,270,293,271,294,294,291,301,240,0,101,78,238,270,289,263,237,263,237,263,236,262,262,261,269,208,-,93,84,263,263,263,263,237
mergiraf_plus,169,158,169,159,169,169,169,173,133,53,0,47,136,163,169,160,147,160,147,160,147,159,159,160,164,121,48,-,51,160,160,160,160,147
intellimerge_plus,1540,1435,1540,1434,1540,1540,1535,1575,1295,756,863,0,1260,1409,1539,1360,1282,1360,1282,1360,1283,1359,1359,1357,1391,1133,694,787,-,1360,1360,1360,1360,1282
adjacent_plus,0,1,0,3,1,1,0,5,1,7,2,12,0,0,0,0,1,0,1,0,2,0,0,0,4,0,4,1,17,-,0,0,0,1
imports_plus,0,1,0,3,1,1,0,5,1,7,2,12,0,0,0,0,1,0,1,0,2,0,0,0,4,0,4,1,17,0,-,0,0,1
version_numbers_plus,0,1,0,3,1,1,0,5,1,7,2,12,0,0,0,0,1,0,1,0,2,0,0,0,4,0,4,1,17,0,0,-,0,1
ivn_plus,0,1,0,3,1,1,0,5,1,7,2,12,0,0,0,0,1,0,1,0,2,0,0,0,4,0,4,1,17,0,0,0,-,1
ivn_ignorespace_plus,27,0,27,2,28,28,27,32,22,22,17,22,20,27,27,26,0,26,0,26,1,26,26,26,30,19,19,15,28,26,26,26,26,-
