,gitmerge_ort,gitmerge_ort_ignorespace,gitmerge_recursive_histogram,gitmerge_recursive_myers_ignorespace,gitmerge_recursive_minimal,gitmerge_recursive_myers,gitmerge_recursive_patience,gitmerge_resolve,git_hires_merge,spork,mergiraf,deepseekr1_merge,intellimerge,adjacent,imports,version_numbers,ivn,ivn_ignorespace,gitmerge_ort_plus,gitmerge_ort_ignorespace_plus,gitmerge_recursive_histogram_plus,gitmerge_recursive_myers_ignorespace_plus,gitmerge_recursive_minimal_plus,gitmerge_recursive_myers_plus,gitmerge_recursive_patience_plus,gitmerge_resolve_plus,git_hires_merge_plus,spork_plus,mergiraf_plus,deepseekr1_merge_plus,intellimerge_plus,adjacent_plus,imports_plus,version_numbers_plus,ivn_plus,ivn_ignorespace_plus
gitmerge_recursive_myers_ignorespace_plus,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,0
gitmerge_recursive_minimal_plus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,1,0,0,0,0,0
gitmerge_recursive_myers_plus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,1,0,0,0,0,0
gitmerge_recursive_patience_plus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,1,0,0,0,0,0
gitmerge_resolve_plus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,1,0,0,0,0,0
git_hires_merge_plus,5,5,5,5,5,5,5,5,0,2,1,0,2,5,5,4,3,3,3,3,3,3,3,3,3,4,-,0,0,1,1,3,3,3,3,3
spork_plus,21,19,21,19,21,21,21,21,17,0,6,4,4,18,20,21,19,17,19,17,19,16,18,18,18,18,15,-,6,8,3,19,19,19,19,17
mergiraf_plus,13,13,13,13,13,13,13,13,10,2,0,2,1,11,13,13,12,12,12,12,12,12,12,12,12,13,10,1,-,3,1,12,12,12,12,12
deepseekr1_merge_plus,34,31,34,31,34,34,34,34,30,11,13,7,8,30,29,34,29,26,29,26,29,27,29,29,29,29,28,11,13,-,8,29,29,29,29,26
intellimerge_plus,117,99,117,99,118,118,117,122,95,50,56,23,0,102,102,117,97,85,97,85,97,85,96,96,96,101,82,44,50,32,-,97,97,97,97,85
adjacent_plus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-,0,0,0,0
imports_plus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,0,0,0
version_numbers_plus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-,0,0
ivn_plus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-,0
ivn_ignorespace_plus,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-
